"year","g1","g2","g3","g4"
1998,0.22123989099048,0.346430454292398,0.595815274618445,0.751772501885338
1999,0.22360917225228,0.36235581451708,0.607199222504606,0.761527944765178
2000,0.225917824279516,0.377862481960299,0.618427765255135,0.770718342539994
2001,0.228149148324548,0.393149594779098,0.629529775639354,0.779399871805337
2002,0.230280279883749,0.408031925629072,0.640483253058767,0.787594613686333
2003,0.232286813014492,0.422403431434304,0.651277155080366,0.795256318723938
2004,0.234144341774152,0.436205351391076,0.661907673051836,0.802324241055568
2005,0.235828460220102,0.449392944637819,0.672375735393478,0.809006185295521
2006,0.237318538752461,0.461926724726191,0.682687729381975,0.815688468941317
2007,0.238609053142317,0.473769447408264,0.692828984418426,0.822348138910327
2008,0.239698255503505,0.484880131152496,0.702789341447201,0.828716622105739
2009,0.240584397949857,0.495206405792751,0.712560726660012,0.834638032853221
2010,0.241265732595206,0.504653216814067,0.722132939737898,0.839993601057406
2011,0.241750559101531,0.513063124721594,0.731491068331967,0.844637461179853
2012,0.242088201077305,0.520737595011993,0.740653245693117,0.848158765693889
2013,0.242335651195103,0.527820201828419,0.749645597415329,0.850921091112475
2014,0.242527881882526,0.534093610109557,0.758451984606689,0.85317330357175
2015,0.242699747551295,0.539301653853585,0.767065460000138,0.855226654535754
2016,0.242900990793513,0.543303676341181,0.775444235652196,0.856664698241654
2017,0.243152234866096,0.546416316784812,0.783536726680483,0.857144389582323
2018,0.243448043626092,0.549793944985677,0.791361470481029,0.856537063166335
2019,0.243777306246091,0.552986795108791,0.79891463955487,0.854592605648986
2020,0.244118056163114,0.5555079267354,0.806239381771515,0.851153041857939
2021,0.244443513331272,0.556983165570145,0.813329551701351,0.846053322751932
2022,0.244743932794805,0.557496786099022,0.8202179574605,0.83977138046945
2023,0.245038836167227,0.557473115177282,0.826974129310113,0.833654509816355
