"year_all","mean","lower","upper"
1995,0.148330267219457,0.0766130355072123,0.220047498931701
2000,0.213122580166704,0.14140534845446,0.284839811878949
2005,0.280669852663568,0.208952620951323,0.352387084375812
2010,0.352269739165812,0.280552507453568,0.423986970878057
2014,0.413090338499199,0.341373106786955,0.484807570211444
2017,0.461560309923788,0.389843078211544,0.533277541636033
2018,0.478417493038626,0.406700261326382,0.55013472475087
2019,0.495594923176932,0.423877691464687,0.567312154889176
2020,0.51303841679042,0.441321185078176,0.584755648502665
2022,0.548411142381436,0.476693910669192,0.62012837409368
2023,0.548411142381436,0.476693910669192,0.62012837409368
2024,0.548411142381436,0.474923114824445,0.621899169938427
2025,0.548411142381436,0.473152318979698,0.623669965783174
2026,0.548411142381436,0.471381523134951,0.625440761627921
2027,0.548411142381436,0.469610727290205,0.627211557472667
2028,0.548411142381436,0.467839931445458,0.628982353317414
2029,0.548411142381436,0.466069135600711,0.630753149162161
2030,0.548411142381436,0.464298339755964,0.632523945006908
2031,0.548411142381436,0.462527543911217,0.634294740851654
2032,0.548411142381436,0.460756748066471,0.636065536696401
2033,0.548411142381436,0.458985952221724,0.637836332541148
2034,0.548411142381436,0.457215156376977,0.639607128385895
2035,0.548411142381436,0.45544436053223,0.641377924230642
2036,0.548411142381436,0.453673564687484,0.643148720075388
2037,0.548411142381436,0.451902768842737,0.644919515920135
2038,0.548411142381436,0.45013197299799,0.646690311764882
2039,0.548411142381436,0.448361177153243,0.648461107609629
2040,0.548411142381436,0.446590381308496,0.650231903454375
2041,0.548411142381436,0.44481958546375,0.652002699299122
2042,0.548411142381436,0.443048789619003,0.653773495143869
2043,0.548411142381436,0.441277993774256,0.655544290988616
2044,0.548411142381436,0.439507197929509,0.657315086833363
2045,0.548411142381436,0.437736402084763,0.659085882678109
2046,0.548411142381436,0.435965606240016,0.660856678522856
2047,0.548411142381436,0.434194810395269,0.662627474367603
2048,0.548411142381436,0.432424014550522,0.66439827021235
2049,0.548411142381436,0.430653218705775,0.666169066057096
2050,0.548411142381436,0.428882422861029,0.667939861901843
