"","year","rate_h","fitted_h","upper_h","lower_h","rate_m","fitted_m","upper_m","lower_m","rate_l","fitted_l","upper_l","lower_l"
"1",1998,0.390049878428686,0.378295845732775,0.45877291102303,0.29781878044252,0.366415473753979,0.346962871522056,0.409206719594287,0.284719023449824,0.338113038289621,0.32445675650631,0.3889490292065,0.25996448380612
"2",1999,0.395564554500808,0.389973464857412,0.470450530147667,0.309496399567157,0.369381040407772,0.35512496675575,0.417368814827982,0.292881118683518,0.348615884160941,0.334747305734254,0.399239578434444,0.270255033034064
"3",2000,0.420683230883881,0.401742851060824,0.482219916351079,0.321265785770568,0.377729446342838,0.363444965740221,0.425688813812452,0.301201117667989,0.372766650086519,0.345153362134659,0.409645634834849,0.280661089434469
"4",2001,0.38709462039642,0.413745569765723,0.494222635055978,0.333268504475468,0.360688446678454,0.372166744418578,0.43441059249081,0.309922896346347,0.339250458025994,0.355890606010845,0.420382878711036,0.291398333310655
"5",2002,0.419540041766863,0.42618913650522,0.506666201795475,0.345712071214965,0.381195574800522,0.381606415060037,0.443850263132269,0.319362566987805,0.361225882009041,0.367304542104607,0.431796814804798,0.302812269404417
"6",2003,0.412623405135644,0.439167360561949,0.519644425852205,0.358690295271694,0.341653788315005,0.392041462003379,0.45428531007561,0.329797613931147,0.313124781924635,0.37968639038237,0.44417866308256,0.31519411768218
"7",2004,0.41827204521948,0.452677852236404,0.533154917526659,0.372200786946149,0.387467210191879,0.403672800658389,0.465916648730621,0.341428952586157,0.362171489318986,0.393197745525034,0.457690018225225,0.328705472824844
"8",2005,0.544353099326938,0.466540715652064,0.547017780942319,0.386063650361809,0.447136382092374,0.416438317010809,0.47868216508304,0.354194468938577,0.459730571364631,0.407634471901324,0.472126744601514,0.343142199201133
"9",2006,0.407643343055845,0.48047194276056,0.560949008050816,0.399994877470305,0.377324505501134,0.43017400664988,0.492417854722111,0.367930158577648,0.351468728856044,0.422625368710909,0.487117641411099,0.358133096010719
"10",2007,0.48576939175272,0.494433492826383,0.574910558116639,0.413956427536128,0.455259675089514,0.444780652453509,0.507024500525741,0.382536804381277,0.446472577121578,0.437927275158516,0.502419547858707,0.373435002458326
"11",2008,0.490086526805092,0.508119474375913,0.588596539666168,0.427642409085658,0.386372886923984,0.45995381339326,0.522197661465492,0.397709965321028,0.455577282899903,0.453026986614485,0.517519259314675,0.388534713914295
"12",2009,0.493053600780764,0.521072667386665,0.60154973267692,0.44059560209641,0.471115262177084,0.475287155190946,0.537531003263178,0.413043307118714,0.451836599050518,0.467369794379279,0.53186206707947,0.402877521679089
"13",2010,0.636122913013498,0.532704660962839,0.613181726253095,0.452227595672584,0.566131665844019,0.490027101361281,0.552270949433513,0.427783253289049,0.56619891897229,0.480404863803056,0.544897136503246,0.415912591102866
"14",2011,0.546366643076634,0.542394864711694,0.62287193000195,0.461917799421439,0.525229277152579,0.50340299891671,0.565646846988942,0.441159150844478,0.50561370011121,0.491612961762469,0.55610523446266,0.427120689062279
"15",2012,0.554934735636712,0.549992433755488,0.630469499045743,0.469515368465233,0.533795083838104,0.51503249618521,0.577276344257442,0.452788648112978,0.496330745954176,0.500886752032922,0.565379024733113,0.436394479332732
"16",2013,0.557883409586508,0.555496320269179,0.635973385559434,0.475019254978924,0.5644845396054,0.524752874337491,0.586996722409723,0.462509026265259,0.521596065686171,0.508284360632397,0.572776633332588,0.443792087932207
"17",2014,0.654698073750363,0.558936977290002,0.639414042580257,0.478459911999747,0.540583632741748,0.532566113972935,0.594809962045167,0.470322265900703,0.554105168553148,0.513874870874266,0.578367143574456,0.449382598174075
"18",2015,0.558593155110136,0.560477780978759,0.640954846269014,0.480000715688504,0.558365213246068,0.538698089845404,0.600941937917636,0.476454241773172,0.520035815470432,0.51783457227345,0.582326844973641,0.45334229957326
"19",2016,0.53316784560043,0.560744524125894,0.641221589416149,0.480267458835639,0.549856809847555,0.54348495456339,0.605728802635621,0.481241106491158,0.520304335059426,0.520552469115041,0.585044741815231,0.456060196414851
"20",2017,0.509872932766564,0.560436116220419,0.640913181510674,0.479959050930163,0.512720229545514,0.547375054345116,0.609618902417347,0.485131206272884,0.484748673412885,0.522476385051906,0.586968657752096,0.457984112351716
"21",2018,0.526274569705134,0.56005524457322,0.640532309863475,0.479578179282964,0.530592950947113,0.550829394214431,0.613073242286662,0.488585546142199,0.50966295441664,0.524010115230133,0.588502387930324,0.459517842529943
"22",2019,0.571692952124535,0.559786779549763,0.640263844840018,0.479309714259508,0.52890937451098,0.554125139632127,0.616368987704358,0.491881291559895,0.523019287515049,0.525357915177001,0.589850187877191,0.460865642476811
"23",2020,0.548183374906297,0.559606077011331,0.640083142301587,0.479129011721076,0.571615985377278,0.55736968324482,0.619613531317051,0.495125835172588,0.522244158034973,0.526606545504478,0.591098818204668,0.462114272804288
"24",2021,0.569534215616349,0.559491412033767,0.639968477324022,0.479014346743511,0.563544253753784,0.560541591983439,0.62278544005567,0.498297743911207,0.526891932289786,0.52780893187694,0.59230120457713,0.46331665917675
"25",2022,0.559887442021141,0.559392435763197,0.639869501053453,0.478915370472942,0.555952309941004,0.563661355166523,0.625905203238755,0.501417507094291,0.526618687031884,0.528993037119827,0.593485309820017,0.464500764419636
