,province,hdistate,rate
0,Anhui,low,0.5590068688702533
1,Beijing,high,0.624458991243478
2,Chongqing,medium,0.5477534638790922
3,Fujian,medium,0.5819684745219574
4,Gansu,low,0.543989556701554
5,Guangdong,high,0.5413021894466673
6,Guangxi,low,0.4516068885896251
7,Guizhou,low,0.4911555779173496
8,Hainan,medium,0.41618047353819315
9,Hebei,medium,0.5002788255570477
10,Heilongjiang,medium,0.553958386049889
11,Henan,medium,0.5266271344447905
12,Hubei,medium,0.572303914775903
13,Hunan,medium,0.49989655767797503
14,Inner Mongolia,high,0.6019226214529014
15,Jiangsu,high,0.6057112553591683
16,Jiangxi,low,0.5231799263787417
17,Jilin,high,0.5508579791228421
18,Liaoning,high,0.5757536845866648
19,Ningxia,low,0.5530240905920287
20,Qinghai,low,0.558481263328641
21,Shaanxi,medium,0.5961126582174274
22,Shandong,high,0.5807301959827628
23,Shanghai,high,0.6406605454558003
24,Shanxi,medium,0.6079100171160768
25,Sichuan,low,0.5572303190734448
26,Tianjin,high,0.5547702650327085
27,Tibet,low,0.46958650684745545
28,Xinjiang,low,0.5090473436581362
29,Yunnan,low,0.516666861525811
30,Zhejiang,high,0.6215775401145764
