,year,province,myopia_rate_urban,myopia_rate_rural
0,1998,Anhui,0.4970497147423492,0.2712569801636972
1,1998,Beijing,0.5060714135467234,0.293953668949226
2,1998,Chongqing,0.43807379299793336,0.24525705166213174
3,1998,Fujian,0.5016180253422964,0.29498935362066053
4,1998,Gansu,0.4617910225903536,0.3262453313592634
5,1998,Guangdong,0.43091470412930377,0.2771032257230187
6,1998,Guangxi,0.39127848930140424,0.27785843856341624
7,1998,Guizhou,0.40138473954478926,0.2857847811404155
8,1998,Hainan,0.3830346236471326,0.2753165560151322
9,1998,Hebei,0.48601898625273715,0.32634836773606307
10,1998,Heilongjiang,0.4076875729335073,0.274690945395104
11,1998,Henan,0.45900210611285125,0.35116577939018073
12,1998,Hubei,0.47813853451720256,0.3420983763105711
13,1998,Hunan,0.4577751138638612,0.33966225980910886
14,1998,Inner Mongolia,0.4489355447472278,0.31597375363382435
15,1998,Jiangsu,0.515951444277636,0.3819262772192123
16,1998,Jiangxi,0.46677787060869613,0.341255320101872
17,1998,Jilin,0.38783136609406355,0.2755995905241707
18,1998,Liaoning,0.41418384515804724,0.26998707123898497
19,1998,Ningxia,0.4462200519706693,0.3400580765735977
20,1998,Qinghai,0.4301107474262429,0.32669390538817034
21,1998,Shaanxi,0.4590335711113849,0.3417559661333576
22,1998,Shandong,0.473029347096287,0.32403989197340144
23,1998,Shanghai,0.5490490598091092,0.40420293507581206
24,1998,Shanxi,0.4443881734756774,0.3093672894503009
25,1998,Sichuan,0.45604980206834733,0.3107596953564688
26,1998,Tianjin,0.4932302880585809,0.31120327157331695
27,1998,Tibet,0.4569524447083638,0.3481125074459862
28,1998,Xinjiang,0.447231718557254,0.3425277841299434
29,1998,Yunnan,0.42582742679461844,0.29758164929392666
30,1998,Zhejiang,0.5289439912669212,0.38370031995614085
31,1999,Anhui,0.4945451890928728,0.36094370193395264
32,1999,Beijing,0.5118271276987921,0.3227073729199481
33,1999,Chongqing,0.45665022769877134,0.28599851823705524
34,1999,Fujian,0.5099779481851056,0.34619809789910644
35,1999,Gansu,0.47409206340723437,0.31544759505412634
36,1999,Guangdong,0.458247136810432,0.27576523063659564
37,1999,Guangxi,0.42811967416556684,0.2806154006087219
38,1999,Guizhou,0.4180886656504358,0.27880994688188204
39,1999,Hainan,0.41431564520356884,0.275408685368891
40,1999,Hebei,0.48601898625273715,0.32634836773606307
41,1999,Heilongjiang,0.4101181398632738,0.2813007248511936
42,1999,Henan,0.4561260325022536,0.33840997953788243
43,1999,Hubei,0.47858277659786963,0.3442220711678422
44,1999,Hunan,0.467695483935997,0.33350509742986306
45,1999,Inner Mongolia,0.45122901996708253,0.3187710337590238
46,1999,Jiangsu,0.5149709426983824,0.38079927879284675
47,1999,Jiangxi,0.4714919236491721,0.3341004277581471
48,1999,Jilin,0.40148560963625196,0.2804009758102664
49,1999,Liaoning,0.42255671373980624,0.2790013144098081
50,1999,Ningxia,0.4532363136706268,0.3298989324184089
51,1999,Qinghai,0.44045547347158037,0.3227798220787183
52,1999,Shaanxi,0.46550224931749207,0.33333183274340533
53,1999,Shandong,0.47302934709628713,0.32403989197340144
54,1999,Shanghai,0.54807904124445,0.40320557683346325
55,1999,Shanxi,0.44432560991902337,0.3102368045075958
56,1999,Sichuan,0.46569130934709907,0.298021683787817
57,1999,Tianjin,0.49323028805858093,0.311203271573317
58,1999,Tibet,0.453869762697901,0.3386365952040874
59,1999,Xinjiang,0.4538856444502087,0.33591618463736933
60,1999,Yunnan,0.44098534256350724,0.2906818356574913
61,1999,Zhejiang,0.5280409673218743,0.3826853640652637
62,2000,Anhui,0.48709590185544543,0.3751256794032221
63,2000,Beijing,0.5147966346534929,0.2666306549816562
64,2000,Chongqing,0.4459766630555011,0.32809615218399507
65,2000,Fujian,0.5444217128395248,0.4314409994857088
66,2000,Gansu,0.5048039166980427,0.38473594603961064
67,2000,Guangdong,0.4485120281103222,0.3101478460790792
68,2000,Guangxi,0.39139764483562717,0.2779505454516451
69,2000,Guizhou,0.3327511791232164,0.23559054300550802
70,2000,Hainan,0.3251515019192419,0.22974389784109253
71,2000,Hebei,0.4783081360918482,0.3572306804412773
72,2000,Heilongjiang,0.3682066641192142,0.27115259676995374
73,2000,Henan,0.4484504434969748,0.3492867742223639
74,2000,Hubei,0.47341355108927546,0.3585911949820129
75,2000,Hunan,0.43909938379529034,0.32852315787637376
76,2000,Inner Mongolia,0.40327907878347763,0.3085594235608366
77,2000,Jiangsu,0.5374419428508287,0.42341074334408974
78,2000,Jiangxi,0.45826157324101907,0.35543077205919155
79,2000,Jilin,0.35659149359791864,0.25734298154992924
80,2000,Liaoning,0.3955260595862509,0.2781233736642561
81,2000,Ningxia,0.392698629118996,0.296104633564514
82,2000,Qinghai,0.41362780562268886,0.31260160369680984
83,2000,Shaanxi,0.44914032540206555,0.33855332601545773
84,2000,Shandong,0.5326376439428663,0.423979381895273
85,2000,Shanghai,0.5331913993597522,0.4111559789690757
86,2000,Shanxi,0.4387771671639617,0.33686294162478436
87,2000,Sichuan,0.5075687073422672,0.3914901252150587
88,2000,Tianjin,0.43516770146954065,0.2997943112956895
89,2000,Tibet,0.40815013320224114,0.3097697834911802
90,2000,Xinjiang,0.4535242508022625,0.3515585337995041
91,2000,Yunnan,0.5013049039106405,0.38488502378093203
92,2000,Zhejiang,0.5569740930927832,0.4305210452437911
93,2001,Anhui,0.49339818269294666,0.3603447312182048
94,2001,Beijing,0.50817827353862,0.3061192514197764
95,2001,Chongqing,0.44788134566300064,0.27105396132736326
