,year,age_group,myopia_rate_urban,myopia_rate_rural,myopia_rate
0,1998,1,0.1705689769166776,0.10011449254372831,0.12089336831227174
1,1998,2,0.26473829987939607,0.18897698565750398,0.21060813698812983
2,1998,3,0.5424107478196821,0.4233189834738669,0.4573217196097611
3,1998,4,0.7404160629316802,0.5768628884632971,0.6439019226194318
4,1999,1,0.17979245865851415,0.10405617714860493,0.12639279345730448
5,1999,2,0.27612387717193126,0.19454490659689416,0.21783709834447854
6,1999,3,0.5534240792542268,0.42916902278341257,0.4646459671543034
7,1999,4,0.74095964849687,0.5758598117847484,0.6435328094412738
8,2000,1,0.15259464146201135,0.13159624399480357,0.13778922228700058
9,2000,2,0.27443195329663095,0.2170666687203819,0.2334454388689427
10,2000,3,0.5468974997815601,0.47215282213747845,0.4934937063325784
11,2000,4,0.7559704503800007,0.5992291674529385,0.6634760660776728
12,2001,1,0.16794731138545801,0.09968818582251969,0.11981959268419946
13,2001,2,0.2765102044387542,0.18453318984285572,0.2107942010475446
14,2001,3,0.5543560171870142,0.40758204393403674,0.44948852429858893
15,2001,4,0.7404026815551293,0.548290394058396,0.6270355620758858
16,2002,1,0.18407908152896157,0.11264336820847576,0.1337116341355424
17,2002,2,0.3333441505565835,0.21308937300760786,0.24742416930976838
18,2002,3,0.5926762215483254,0.42367434222903555,0.4719272700492788
19,2002,4,0.7469205712393772,0.5574044168952484,0.6350854523475525
20,2003,1,0.17761825099209314,0.09786042234435018,0.12138309840663544
21,2003,2,0.31208308659107953,0.18720729001068295,0.2228614663024462
22,2003,3,0.5720226631050985,0.36791681855430663,0.4261925290047941
23,2003,4,0.7464723236248326,0.4661708688069637,0.5810640151162818
24,2004,1,0.1833292500590409,0.11324352946437444,0.13391364712042758
25,2004,2,0.3232636147139291,0.22154594975359912,0.2505880832798283
26,2004,3,0.5796030942670828,0.43478116492643437,0.4761303033585598
27,2004,4,0.7476034332513474,0.5444216168882283,0.6277040892177749
28,2005,1,0.24629201583106725,0.2110790985488032,0.22146431164301877
29,2005,2,0.4341862979621326,0.36524861756648447,0.3849315047013764
30,2005,3,0.6229481566798669,0.5456044768694619,0.5676874206466291
31,2005,4,0.7653872005584458,0.633593146877979,0.6876143916198121
32,2006,1,0.1602070050575279,0.10995716380075757,0.13162598360404054
33,2006,2,0.3027579178281245,0.20381657773788273,0.24714974065191303
34,2006,3,0.5546616031469643,0.38862460969149115,0.4613435366900493
35,2006,4,0.7289028967722996,0.4699875325029579,0.6088942836417367
36,2007,1,0.22375600532343667,0.16699879865077805,0.19147373535044027
37,2007,2,0.3978987919152128,0.3008822169044158,0.3433723938766472
38,2007,3,0.613743344960892,0.5583481808177255,0.5826095024278422
39,2007,4,0.7572223274373294,0.5618171496798379,0.6666510148874374
40,2008,1,0.22192430927242868,0.1424773422003138,0.17673659497299926
41,2008,2,0.42837666941897085,0.27216300324019477,0.34057962504609324
42,2008,3,0.6150016614551501,0.5303382358701283,0.5674181259382179
43,2008,4,0.7580267704088206,0.4761276383318935,0.6273650617893632
44,2009,1,0.22863852264679066,0.16738498885893702,0.1937988391869612
45,2009,2,0.43301567692966086,0.3165015959029227,0.3675310609405418
46,2009,3,0.6248542787779665,0.5284602715096212,0.5706777835939092
47,2009,4,0.7697006380542587,0.568794145366776,0.6765794375245406
48,2010,1,0.35137816636209623,0.2824415599865387,0.312168517605545
49,2010,2,0.5674836247321481,0.49019530622469515,0.5240451337505833
50,2010,3,0.7258082403617299,0.6309194715579602,0.6724777370265219
51,2010,4,0.8116255828145715,0.710798555546602,0.7648917331542667
52,2011,1,0.2553187723044295,0.19631511246395475,0.22175876842068257
53,2011,2,0.5029755276329215,0.38454380840579294,0.436413138038655
54,2011,3,0.662005980189718,0.6004473600099774,0.6274080795088101
55,2011,4,0.7947157915206043,0.6425347148244746,0.724179073815355
56,2012,1,0.2369389484084454,0.16596996181952647,0.19657332580149123
57,2012,2,0.5168130248732227,0.36776921036081855,0.4330456649722465
58,2012,3,0.66834184816614,0.5755717976880412,0.6162021318561828
59,2012,4,0.813830402463516,0.6803300505304113,0.7519522974961044
60,2013,1,0.23558849519708877,0.23562475042477626,0.2356091163854233
61,2013,2,0.47983986502461967,0.4677475450041598,0.473043596917114
62,2013,3,0.6452106959721747,0.6314874370118523,0.6374977883543416
63,2013,4,0.7963034924235006,0.7106195116895064,0.7565885233083591
64,2014,1,0.336663518720952,0.27523463976351853,0.30172410272608985
65,2014,2,0.5764963318416394,0.45083202738407213,0.50586899951899
66,2014,3,0.7250811243836395,0.6272763275751801,0.6701117206475709
67,2014,4,0.7915384035442715,0.6930801252399801,0.7459024813043331
68,2015,1,0.24151748760073766,0.18135415802211038,0.2072978886847252
69,2015,2,0.5069493204917682,0.43921502922988265,0.46888049641923546
70,2015,3,0.6696862770535854,0.6131749960552336,0.6379251413812281
71,2015,4,0.8006633580691925,0.7019635475916657,0.7549154844152537
72,2016,1,0.28288274163817956,0.1734877186388166,0.2408125347411781
73,2016,2,0.5584213721811679,0.48198496480614417,0.5265960681309145
74,2016,3,0.7042112579790869,0.5883121906738412,0.6559551561710436
75,2016,4,0.8074196502409359,0.7303844813264531,0.7867409013372524
76,2017,1,0.2512209837506122,0.16681044462963635,0.21875909702357554
77,2017,2,0.4428237633630529,0.39817660764322865,0.42423433255960163
78,2017,3,0.6858792150061799,0.6071126848004967,0.6530837336528995
79,2017,4,0.8007459078542124,0.7283344754999808,0.7813083204703065
80,2018,1,0.22298795547718536,0.14823405773980558,0.19423973770692016
