"year_all","mean","lower","upper"
1998,0.0480707343945525,-0.025264121961047,0.131405590750152
1999,0.0491037696076861,-0.0242310867479134,0.132438625963286
2000,0.0503132986087122,-0.0230215577468873,0.133648154964312
2002,0.0537380688125812,-0.0195967875430183,0.137072925168181
2003,0.0564427330986726,-0.0168921232569269,0.139777589454272
2004,0.0602128247886342,-0.0131220315669653,0.143547681144234
2005,0.0650370442723165,-0.00829781208328299,0.148371900627916
2006,0.0710269395542568,-0.00230791680134269,0.154361795909856
2008,0.0865768221061882,0.00324196575058867,0.169911678461788
2010,0.106361830330606,0.0230269739750064,0.189696686686206
2012,0.127359743209948,0.0440248868543482,0.210694599565547
2013,0.137448001514596,0.0541131451589963,0.220782857870195
2014,0.146134885041246,0.0628000286856463,0.229469741396845
2016,0.161952561890001,0.0786177055344019,0.245287418245601
2017,0.170924037256569,0.0875891809009695,0.254258893612169
2019,0.190915200490042,0.107580344134442,0.274250056845641
2020,0.201837374137081,0.118502517781481,0.28517223049268
2021,0.213041758112634,0.129706901757034,0.296376614468233
2022,0.213041758112634,0.129706901757034,0.296376614468233
2023,0.213041758112634,0.128032764017747,0.29805075220752
2024,0.213041758112634,0.126358626278461,0.299724889946806
2025,0.213041758112634,0.124684488539174,0.301399027686093
2026,0.213041758112634,0.123010350799888,0.30307316542538
2027,0.213041758112634,0.121336213060601,0.304747303164666
2028,0.213041758112634,0.119662075321315,0.306421440903953
2029,0.213041758112634,0.117987937582028,0.308095578643239
2030,0.213041758112634,0.116313799842741,0.309769716382526
2031,0.213041758112634,0.114639662103455,0.311443854121813
2032,0.213041758112634,0.112965524364168,0.313117991861099
2033,0.213041758112634,0.111291386624882,0.314792129600386
2034,0.213041758112634,0.109617248885595,0.316466267339672
2035,0.213041758112634,0.107943111146308,0.318140405078959
2036,0.213041758112634,0.106268973407022,0.319814542818246
2037,0.213041758112634,0.104594835667735,0.321488680557532
2038,0.213041758112634,0.102920697928449,0.323162818296819
2039,0.213041758112634,0.101246560189162,0.324836956036105
2040,0.213041758112634,0.0995724224498754,0.326511093775392
2041,0.213041758112634,0.0978982847105888,0.328185231514679
2042,0.213041758112634,0.0962241469713022,0.329859369253965
2043,0.213041758112634,0.0945500092320156,0.331533506993252
2044,0.213041758112634,0.092875871492729,0.333207644732538
2045,0.213041758112634,0.0912017337534424,0.334881782471825
2046,0.213041758112634,0.0895275960141558,0.336555920211112
2047,0.213041758112634,0.0878534582748692,0.338230057950398
2048,0.213041758112634,0.0861793205355826,0.339904195689685
2049,0.213041758112634,0.084505182796296,0.341578333428971
2050,0.213041758112634,0.0828310450570094,0.343252471168258
