"year","g1","g2","g3","g4"
1998,0.133027545987948,0.120301715224763,0.619253052565648,0.813742098297153
1999,0.147288504341453,0.157297158161393,0.650116022699942,0.84415473236243
2000,0.161549462694957,0.194292601098023,0.680978992834236,0.874567366427707
2001,0.175810421048461,0.231288044034652,0.71184196296853,0.904980000492984
2002,0.190071379401965,0.268283486971282,0.742704933102824,0.935392634558261
2003,0.20433233775547,0.305278929907912,0.773567903237119,0.965805268623538
2004,0.218593296108974,0.342274372844542,0.804430873371413,0.996217902688815
2005,0.232854254462478,0.379269815781172,0.835293843505707,1.02663053675409
2006,0.247115212815982,0.416265258717801,0.866156813640001,1.05704317081937
2007,0.261376171169487,0.453260701654431,0.897019783774295,1.08745580488465
2008,0.275637129522991,0.490256144591061,0.927882753908589,1.11786843894992
2009,0.289898087876495,0.527251587527691,0.958745724042883,1.1482810730152
2010,0.30415904623,0.564247030464321,0.989608694177177,1.17869370708048
2011,0.318420004583504,0.60124247340095,1.02047166431147,1.20910634114575
2012,0.332680962937008,0.63823791633758,1.05133463444577,1.23951897521103
2013,0.346941921290512,0.67523335927421,1.08219760458006,1.26993160927631
2014,0.361202879644017,0.71222880221084,1.11306057471435,1.30034424334158
2015,0.375463837997521,0.74922424514747,1.14392354484865,1.33075687740686
2016,0.389724796351025,0.786219688084099,1.17478651498294,1.36116951147214
2017,0.403985754704529,0.823215131020729,1.20564948511724,1.39158214553741
2018,0.418246713058034,0.860210573957359,1.23651245525153,1.42199477960269
2019,0.432507671411538,0.897206016893989,1.26737542538582,1.45240741366797
2020,0.446768629765042,0.934201459830619,1.29823839552012,1.48282004773325
2021,0.461029588118547,0.971196902767248,1.32910136565441,1.51323268179852
2022,0.475290546472051,1.00819234570388,1.35996433578871,1.5436453158638
2023,0.489551504825555,1.04518778864051,1.390827305923,1.57405794992908
