"year","g1","g2","g3","g4"
1998,0.17297768008328,0.331855801463941,0.405597559870815,0.146833058004284
1999,0.167619538075194,0.335301918055217,0.421269549824513,0.221161049380599
2000,0.162873308072268,0.339671674136574,0.436941539778212,0.2917846932707
2001,0.159011042031213,0.344928232411412,0.45261352973191,0.358711530495482
2002,0.156213664747962,0.350960899513096,0.468285519685608,0.421952257663689
2003,0.154614605041621,0.357536635105938,0.48396682171008,0.481522771564587
2004,0.154441655521435,0.365164155592849,0.499703996159196,0.537448337792842
2005,0.156022067475054,0.374303904879257,0.515552915457598,0.589773865817595
2006,0.159925514063297,0.385656815860913,0.531568696190135,0.638605989518314
2007,0.166159404621637,0.400435507502367,0.547799351309216,0.684158216863236
2008,0.173883744630722,0.416895626750552,0.564275816834406,0.726212156673113
2009,0.182395742235113,0.433639285487748,0.581026315639008,0.764713948215866
2010,0.191878525534215,0.450362994999639,0.598084539104312,0.79915530392528
2011,0.202444147239032,0.466366075155622,0.615483660889547,0.82901726276038
2012,0.213747172844429,0.480488044892125,0.633243819623697,0.85340607971945
2013,0.225714232158339,0.493286487514015,0.651361123070307,0.870856045084053
2014,0.238466377737631,0.50636355708813,0.669820505112935,0.884661317742203
2015,0.252222011863153,0.521091500565988,0.688583872636909,0.894902980887769
2016,0.266164136726453,0.539107650327021,0.707593467298486,0.901644544779282
2017,0.279243790748692,0.558814766412954,0.726781609508697,0.905120557885304
2018,0.29257083697436,0.580753665771556,0.746105639956469,0.905672609794894
2019,0.306514187065581,0.604281511357749,0.765530048406523,0.903934747818647
2020,0.321318223750277,0.6289060764145,0.785020892877051,0.90113689638296
2021,0.337634377027745,0.6548885500969,0.804548393343766,0.896505434496656
2022,0.355390587907247,0.681335332330334,0.824082354985904,0.886608867354258
2023,0.374375281651786,0.708493188914609,0.843616316628041,0.872225676675039
