hdistate,Mean,Std
high,0.40535563872611746,0.05336163204090944
low,0.3492615843886785,0.029370854768681866
medium,0.36713202463246547,0.0245183971880623
high,0.579645622372183,0.03026681631033059
low,0.5205000186406472,0.03666643872064895
medium,0.5368607655899834,0.0399605625306505
high,0.5458470118232981,0.0470849169545048
low,0.5144429918245891,0.04495732035202225
medium,0.5424701954752016,0.022354727726767012
