"year_all","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper"
1998,0.0724563280750274,0.166720631227162,0.260984934379296,0.168936182311145,0.263299664231403,0.357663146151661,0.469969998167533,0.541460305426956,0.61295061268638,0.692170000612601,0.731170261936657,0.770170523260712
1999,0.0764877146154097,0.170752017767544,0.265016320919678,0.182846232974835,0.277209714895093,0.371573196815351,0.48442806774226,0.555918375001683,0.627408682261106,0.702705804341329,0.741706065665384,0.780706326989439
2000,0.0813104441303424,0.175574747282477,0.269839050434611,0.195420961532532,0.28978444345279,0.384147925373048,0.495938360638417,0.567428667897841,0.638918975157264,0.705946362592569,0.744946623916624,0.783946885240679
2001,0.0912107278476346,0.185475030999769,0.279739334151903,0.221626756363614,0.315990238283872,0.41035372020413,0.496935552789639,0.568425860049062,0.639916167308486,0.714686872718694,0.753687134042749,0.792687395366804
2002,0.0947717688265671,0.189036071978702,0.283300375130836,0.227088420384291,0.321451902304548,0.415815384224806,0.510900695584352,0.582391002843775,0.653881310103198,0.7109078769854,0.749908138309455,0.78890839963351
2003,0.103733805928419,0.197998109080553,0.292262412232688,0.254998280005597,0.349361761925854,0.443725243846112,0.508723338233265,0.580213645492688,0.651703952752112,0.711720023680552,0.750720285004607,0.789720546328662
2004,0.107210340319829,0.201474643471963,0.295738946624097,0.261401563736981,0.355765045657239,0.450128527577497,0.525985250759724,0.597475558019148,0.668965865278571,0.717355224532459,0.756355485856514,0.79535574718057
2005,0.112706570979058,0.206970874131193,0.301235177283327,0.275544331417763,0.36990781333802,0.464271295258278,0.535019716642946,0.606510023902369,0.678000331161793,0.720315823486666,0.759316084810721,0.798316346134776
2006,0.115353266697225,0.209617569849359,0.303881873001494,0.297393547099899,0.391757029020157,0.486120510940415,0.545440305291234,0.616930612550658,0.688420919810081,0.72760912867599,0.766609390000046,0.805609651324101
2007,0.127401469012361,0.221665772164495,0.315930075316629,0.304126872313606,0.398490354233864,0.492853836154122,0.546673588253957,0.61816389551338,0.689654202772803,0.71701249183066,0.756012753154715,0.79501301447877
2008,0.127517172391502,0.221781475543637,0.316045778695771,0.319855375710724,0.414218857630982,0.508582339551239,0.561191937947039,0.632682245206462,0.704172552465885,0.73038266418396,0.769382925508015,0.80838318683207
2009,0.135664236795119,0.229928539947253,0.324192843099387,0.342657163212311,0.437020645132569,0.531384127052827,0.562428822977283,0.633919130236706,0.705409437496129,0.730805471752283,0.769805733076338,0.808805994400393
2010,0.138869650569387,0.233133953721522,0.327398256873656,0.352742919548271,0.447106401468529,0.541469883388787,0.573635880615185,0.645126187874608,0.716616495134031,0.739576627080469,0.778576888404524,0.817577149728579
2011,0.135523983589271,0.229788286741405,0.324052589893539,0.366285173577545,0.460648655497803,0.555012137418061,0.587958033223004,0.659448340482427,0.73093864774185,0.759315077403651,0.798315338727706,0.837315600051762
2012,0.148045340607601,0.242309643759735,0.33657394691187,0.387035732710982,0.48139921463124,0.575762696551497,0.583733628498808,0.655223935758231,0.726714243017655,0.753016507266102,0.792016768590158,0.831017029914213
2013,0.155277351137326,0.24954165428946,0.343805957441595,0.410012118761813,0.504375600682071,0.598739082602329,0.584112092897153,0.655602400156576,0.727092707416,0.763067848107537,0.802068109431592,0.841068370755647
2014,0.155598826192599,0.249863129344734,0.344127432496868,0.40377003279069,0.498133514710948,0.592496996631205,0.597194047564693,0.668684354824116,0.740174662083539,0.758893950017538,0.797894211341593,0.836894472665648
2015,0.155387567848153,0.249651871000288,0.343916174152422,0.410092864664263,0.504456346584521,0.598819828504779,0.599545015823233,0.671035323082656,0.74252563034208,0.753969232360665,0.792969493684721,0.831969755008776
2016,0.164313002926056,0.258577306078191,0.352841609230325,0.427707019167012,0.52207050108727,0.616433983007528,0.599773788491601,0.671264095751025,0.742754403010448,0.761835681040327,0.800835942364382,0.839836203688437
2017,0.165041445488072,0.259305748640206,0.353570051792341,0.436522085597223,0.530885567517481,0.625249049437739,0.603645883283865,0.675136190543288,0.746626497802711,0.764745924692768,0.803746186016823,0.842746447340878
2018,0.162170500091638,0.256434803243772,0.350699106395907,0.416328406408741,0.510691888328998,0.605055370249256,0.620114003618192,0.691604310877616,0.763094618137039,0.769310273219593,0.808310534543648,0.847310795867703
2019,0.179214463993036,0.27347876714517,0.367743070297305,0.46331122697392,0.557674708894178,0.652038190814436,0.59393785532984,0.665428162589264,0.736918469848687,0.76892660885349,0.807926870177545,0.8469271315016
2020,0.159708309702867,0.253972612855001,0.348236916007136,0.441800992945245,0.536164474865503,0.630527956785761,0.638441515822557,0.70993182308198,0.781422130341404,0.773607557111748,0.812607818435803,0.851608079759859
2021,0.179478333564322,0.273742636716456,0.368006939868591,0.472115694744112,0.56647917666437,0.660842658584628,0.604211191567699,0.675701498827122,0.747191806086545,0.773321021454922,0.812321282778977,0.851321544103032
2022,0.176077970140674,0.270342273292808,0.364606576444943,0.471959720223604,0.566323202143862,0.66068668406412,0.61455639334312,0.686046700602543,0.757537007861966,0.774994516477602,0.813994777801657,0.852995039125712
2023,0.140654730472363,0.263587010936263,0.388065936628535,0.437067977560657,0.56807393851487,0.698070763117935,0.596479591381093,0.690706709976731,0.784315222688836,0.766645887278888,0.814331586944686,0.861596908824606
2024,0.13909140055205,0.263190198352517,0.388659979816703,0.434323551756751,0.566031851737367,0.695824168980354,0.595110383084668,0.689940006162777,0.783961510698081,0.765500704960522,0.813759742388571,0.86144698731159
2025,0.138609332339269,0.264041718197256,0.390531460158731,0.431162718291027,0.564082762964379,0.696430313610379,0.593930029526228,0.689618935798051,0.784895812609294,0.764340329832045,0.81306650150149,0.861609727456279
2026,0.138134118203069,0.264346949864745,0.392432139336972,0.427736655030762,0.562414048767837,0.696084766310549,0.592112846457209,0.689451446974059,0.785811004855989,0.763039682116848,0.812626413235205,0.861791964858866
2027,0.137619178906973,0.265588742946848,0.395267478897003,0.427059989190308,0.562252254428916,0.697232705980552,0.591500725746683,0.689279746595106,0.786817104526152,0.762252311016014,0.81248439577031,0.86242216358249
2028,0.136204840431868,0.265969300768455,0.397325821115446,0.425682050349436,0.562327179729514,0.697994985030568,0.590335446495727,0.689321290244878,0.787392938385606,0.761819485864982,0.812605512389286,0.863107108300406
2029,0.136199918540951,0.266685999083491,0.398782484595707,0.425262854022347,0.562433039799432,0.700016504332134,0.589295961037143,0.688778767193444,0.787688808563018,0.76167778485615,0.812727062892715,0.863796255977536
2030,0.134710350508479,0.26714407081206,0.40030577633485,0.424454534430914,0.563705820776961,0.701721657986276,0.587784577331109,0.688370034676489,0.78873643553988,0.761006038612447,0.812960859909196,0.864653419967141
