,df,sum_sq,mean_sq,F,PR(>F)
hdistate,2.0,0.024125580379582262,0.012062790189791131,216.28487634082742,9.420558678258172e-18
Residual,28.0,0.0015616354274438657,5.577269383728092e-05,,
hdistate,2.0,0.025889458780968582,0.012944729390484291,276.2749185693532,3.685185323631139e-19
Residual,28.0,0.0013119266302220403,4.685452250793001e-05,,
hdistate,2.0,0.017953470439023855,0.008976735219511927,159.7715326002508,4.853909326190492e-16
Residual,28.0,0.0015731750334723861,5.618482262401379e-05,,
