"year_all","mean","lower","upper"
1998,0.17297768008328,0.0672512594017185,0.278704100764842
1999,0.167619538075194,0.061893117393632,0.273345958756756
2002,0.156213664747962,0.0504872440663996,0.261940085429523
2005,0.156022067475054,0.0502956467934919,0.261748488156616
2006,0.159925514063297,0.0541990933817348,0.265651934744858
2008,0.173883744630722,0.0681573239491601,0.279610165312284
2010,0.191878525534215,0.0861521048526535,0.297604946215777
2011,0.202444147239032,0.0967177265574696,0.308170567920593
2012,0.213747172844429,0.108020752162867,0.319473593525991
2013,0.225714232158339,0.119987811476777,0.331440652839901
2014,0.238466377737631,0.13273995705607,0.344192798419193
2016,0.266164136726453,0.160437716044891,0.371890557408015
2017,0.279243790748692,0.17351737006713,0.384970211430254
2019,0.306514187065581,0.200787766384019,0.412240607747143
2020,0.321318223750277,0.215591803068715,0.427044644431839
2021,0.337634377027745,0.231907956346183,0.443360797709307
2022,0.337634377027745,0.231907956346183,0.443360797709307
2023,0.337634377027745,0.229783988073563,0.445484765981928
2024,0.337634377027745,0.227660019800942,0.447608734254548
2025,0.337634377027745,0.225536051528321,0.449732702527169
2026,0.337634377027745,0.223412083255701,0.45185667079979
2027,0.337634377027745,0.22128811498308,0.45398063907241
2028,0.337634377027745,0.219164146710459,0.456104607345031
2029,0.337634377027745,0.217040178437839,0.458228575617652
2030,0.337634377027745,0.214916210165218,0.460352543890272
2031,0.337634377027745,0.212792241892597,0.462476512162893
2032,0.337634377027745,0.210668273619977,0.464600480435514
2033,0.337634377027745,0.208544305347356,0.466724448708134
2034,0.337634377027745,0.206420337074735,0.468848416980755
2035,0.337634377027745,0.204296368802115,0.470972385253376
2036,0.337634377027745,0.202172400529494,0.473096353525996
2037,0.337634377027745,0.200048432256873,0.475220321798617
2038,0.337634377027745,0.197924463984253,0.477344290071238
2039,0.337634377027745,0.195800495711632,0.479468258343858
2040,0.337634377027745,0.193676527439011,0.481592226616479
2041,0.337634377027745,0.191552559166391,0.4837161948891
2042,0.337634377027745,0.18942859089377,0.48584016316172
2043,0.337634377027745,0.187304622621149,0.487964131434341
2044,0.337634377027745,0.185180654348529,0.490088099706962
2045,0.337634377027745,0.183056686075908,0.492212067979582
2046,0.337634377027745,0.180932717803287,0.494336036252203
2047,0.337634377027745,0.178808749530667,0.496460004524824
2048,0.337634377027745,0.176684781258046,0.498583972797444
2049,0.337634377027745,0.174560812985425,0.500707941070065
2050,0.337634377027745,0.172436844712805,0.502831909342686
