"year_all","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper"
1998,-0.0230155444818177,0.102491017660216,0.22799757980225,0.0609855058721522,0.171839854363084,0.282694202854016,0.303174336365426,0.40246060426325,0.501746872161074,0.397593788809741,0.515463759560799,0.633333730311857
1999,-0.0220463544916212,0.103460207650413,0.228966769792447,0.0795189745213554,0.190373323012287,0.301227671503219,0.30905031899909,0.408336586896914,0.507622854794739,0.44417428621927,0.562044256970327,0.679914227721385
2000,-0.0160534060446183,0.109453156097416,0.23495971823945,0.091694261261934,0.202548609752866,0.313402958243797,0.323655953257948,0.422942221155773,0.522228489053597,0.450547223340192,0.568417194091249,0.686287164842307
2001,-0.007810421500567,0.117696140641467,0.243202702783501,0.0994404350909202,0.210294783581852,0.321149132072784,0.343334333269004,0.442620601166828,0.541906869064652,0.451604765150811,0.569474735901869,0.687344706652926
2002,-0.00342906923526563,0.122077492906768,0.247584055048803,0.116489732770416,0.227344081261348,0.338198429752279,0.352807559293284,0.452093827191109,0.551380095088933,0.463184346859019,0.581054317610076,0.698924288361134
2003,0.00298384542350508,0.128490407565539,0.253996969707573,0.131057945533696,0.241912294024628,0.35276664251556,0.365153412240178,0.464439680138002,0.563725948035827,0.461028594619762,0.578898565370819,0.696768536121877
2004,0.0126732774165712,0.138179839558605,0.263686401700639,0.143579128725942,0.254433477216873,0.365287825707805,0.380293831267464,0.479580099165289,0.578866367063113,0.432826370044528,0.550696340795586,0.668566311546644
2005,0.0159989475124816,0.141505509654516,0.26701207179655,0.16213710533046,0.272991453821392,0.383845802312324,0.39120486340821,0.490491131306034,0.589777399203858,0.47224221317059,0.590112183921648,0.707982154672706
2006,0.025711138432629,0.151217700574663,0.276724262716697,0.172437169095425,0.283291517586356,0.394145866077288,0.407425995452553,0.506712263350378,0.605998531248202,0.452648628892885,0.570518599643942,0.688388570395
2007,0.0343282934874343,0.159834855629468,0.285341417771502,0.185807733455865,0.296662081946796,0.407516430437728,0.423611041406937,0.522897309304761,0.622183577202585,0.456338296189883,0.574208266940941,0.692078237691998
2008,0.0401405277868939,0.165647089928928,0.291153652070962,0.207143943718792,0.317998292209724,0.428852640700656,0.432439899780212,0.531726167678036,0.63101243557586,0.46096663571812,0.578836606469178,0.696706577220235
2009,0.0492574326179188,0.174763994759953,0.300270556901987,0.225186037942442,0.336040386433374,0.446894734924305,0.44279945135298,0.542085719250804,0.641371987148628,0.435793786508607,0.553663757259665,0.671533728010722
2010,0.0520529793325102,0.177559541474544,0.303066103616578,0.237511589307037,0.348365937797969,0.4592202862889,0.45587314984582,0.555159417743644,0.654445685641469,0.486448371036647,0.604318341787705,0.722188312538762
2011,0.0553534331073836,0.180859995249418,0.306366557391452,0.251267667658766,0.362122016149698,0.47297636464063,0.46549936732982,0.564785635227645,0.664071903125469,0.511224129555433,0.62909410030649,0.746964071057548
2012,0.0590569700799697,0.184563532222004,0.310070094364038,0.27168861166238,0.382542960153312,0.493397308644243,0.471962867673724,0.571249135571548,0.670535403469373,0.524901755306645,0.642771726057703,0.76064169680876
2013,0.0566045119902878,0.182111074132322,0.307617636274356,0.291666989828385,0.402521338319317,0.513375686810249,0.475753947224954,0.575040215122778,0.674326483020603,0.576539259531982,0.69440923028304,0.812279201034097
2014,0.0645571343648924,0.190063696506927,0.315570258648961,0.299205890947194,0.410060239438126,0.520914587929058,0.48581337502218,0.585099642920004,0.684385910817829,0.556542413605013,0.674412384356071,0.792282355107129
2015,0.0774966537341058,0.20300321587614,0.328509778018174,0.291815812378572,0.402670160869503,0.513524509360435,0.506351299961712,0.605637567859536,0.70492383575736,0.542363341710637,0.660233312461695,0.778103283212752
2016,0.0645402213061551,0.190046783448189,0.315553345590223,0.333621958735719,0.444476307226651,0.555330655717582,0.489572937769662,0.588859205667486,0.68814547356531,0.588282846294156,0.706152817045214,0.824022787796271
