,province,hdistate,rate
0,Anhui,low,0.3814488019802105
1,Beijing,high,0.4936283623262327
2,Chongqing,medium,0.33265633746589734
3,Fujian,medium,0.4194407661839697
4,Gansu,low,0.3664435170695019
5,Guangdong,high,0.36389168969088986
6,Guangxi,low,0.3066685235383607
7,Guizhou,low,0.2924585548541906
8,Hainan,medium,0.3046573675388351
9,Hebei,medium,0.36620095776488076
10,Heilongjiang,medium,0.3370829559395253
11,Henan,medium,0.3625061262255024
12,Hubei,medium,0.3964711320074532
13,Hunan,medium,0.36749297786012625
14,Inner Mongolia,high,0.36320230226596933
15,Jiangsu,high,0.4397622902435173
16,Jiangxi,low,0.37406429687189013
17,Jilin,high,0.326373653944275
18,Liaoning,high,0.3488681946294496
19,Ningxia,low,0.3581639816057413
20,Qinghai,low,0.35670138879690727
21,Shaanxi,medium,0.37227709783749097
22,Shandong,high,0.3959437317621828
23,Shanghai,high,0.5400795688002241
24,Shanxi,medium,0.3551293023370035
25,Sichuan,low,0.3569751053616086
26,Tianjin,high,0.4219855751189141
27,Tibet,low,0.3504167954300855
28,Xinjiang,low,0.3755427462554893
29,Yunnan,low,0.34412057147892844
30,Zhejiang,high,0.4566854759288607
