province,year,age_group,myopia_rate_urban,myopia_rate_rural
Anhui,1998,1,0.1810289161238248,0.0542
Anhui,1999,1,0.1772414161238248,0.1338750436073044
Anhui,2000,1,0.1564789161238249,0.1339781795091306
Anhui,2001,1,0.1760179033401009,0.1324483437564914
Anhui,2002,1,0.1886368136218515,0.1515443327642494
Anhui,2003,1,0.1808835580734621,0.155557858398322
Anhui,2004,1,0.1794953146651866,0.1533234120660002
Anhui,2005,1,0.1672785105128669,0.1298579401170423
Anhui,2006,1,0.0209,0.15074203738364
Anhui,2007,1,0.2252170300870641,0.1834972584634979
Anhui,2008,1,0.2937,0.1895018392632451
Anhui,2009,1,0.2306519411063672,0.1869217439432589
Anhui,2010,1,0.395778104901909,0.3434377007249543
Anhui,2011,1,0.2488,0.1466336528465366
Anhui,2012,1,0.1534879426575258,0.095179604968119
Anhui,2013,1,0.2932036377508895,0.2480431280910786
Anhui,2014,1,0.4415977804131425,0.3773215092112837
Anhui,2015,1,0.2613097424201863,0.2081479484398477
Anhui,2016,1,0.3423576181687594,0.2721134134544485
Anhui,2017,1,0.2793410501116822,0.2024543141941891
Anhui,2018,1,0.1930174559243761,0.1168053176976132
Anhui,2019,1,0.3200973748021846,0.2409012698191955
Anhui,2020,1,0.2513874796513325,0.172107001026662
Anhui,2021,1,0.253546936594586,0.1813386341027159
Anhui,2022,1,0.270297118941827,0.2008163109019187
Anhui,1998,2,0.3113723880057455,0.1426
Anhui,1999,2,0.3127798880057455,0.2324968980311063
Anhui,2000,2,0.3172223880057454,0.2590617475388829
Anhui,2001,2,0.3130402164889906,0.2329799875329385
Anhui,2002,2,0.3373782139127688,0.2684404955757132
Anhui,2003,2,0.3296634880887997,0.276651707448514
Anhui,2004,2,0.3337917135864989,0.2821144981704085
Anhui,2005,2,0.304334353724903,0.2464130686919354
Anhui,2006,2,0.1148,0.282589483480153
Anhui,2007,2,0.4090896278395089,0.3432063078057745
Anhui,2008,2,0.4871999999999999,0.3631398025907883
Anhui,2009,2,0.4523719986852168,0.369222202245104
Anhui,2010,2,0.5537463194440605,0.4960643898449879
Anhui,2011,2,0.6286,0.423694654075598
Anhui,2012,2,0.4098111057317234,0.3522249183062084
Anhui,2013,2,0.5504075073478486,0.5010912008270048
Anhui,2014,2,0.6296758920193865,0.5721854467674296
Anhui,2015,2,0.5021835421225469,0.4578772214830527
Anhui,2016,2,0.6331406783070493,0.5757459752286505
Anhui,2017,2,0.537194526720498,0.4667221650680231
Anhui,2018,2,0.5242554645947124,0.4669565036898715
Anhui,2019,2,0.6563878577385438,0.599136767920482
Anhui,2020,2,0.5355022928904131,0.4475095638180579
Anhui,2021,2,0.550939094383472,0.4636518648685039
Anhui,2022,2,0.596563149879357,0.5037323728295374
Anhui,1998,3,0.6350377511199718,0.3603
Anhui,1999,3,0.6313452511199718,0.5119118627844226
Anhui,2000,3,0.6130377511199718,0.5324304534805282
Anhui,2001,3,0.6294402908025115,0.5103787154360636
Anhui,2002,3,0.6380117371230957,0.5385501531016592
Anhui,2003,3,0.6325760692266028,0.5450477568539425
Anhui,2004,3,0.6309821972890238,0.5413537259219552
Anhui,2005,3,0.6212485780976803,0.5410086624053343
Anhui,2006,3,0.5146999999999999,0.5541861407895361
Anhui,2007,3,0.6577978249688836,0.5871650997159636
Anhui,2008,3,0.58795,0.5990711267512542
Anhui,2009,3,0.6594094600574929,0.595216940321058
Anhui,2010,3,0.762559405075389,0.6826868713301405
Anhui,2011,3,0.6756150386081013,0.6368846211475138
Anhui,2012,3,0.5937,0.4926781549000636
Anhui,2013,3,0.698554718417909,0.6455636807758387
Anhui,2014,3,0.7616480666575557,0.6820694384699859
Anhui,2015,3,0.6814305036176226,0.6333007423915398
Anhui,2016,3,0.8216923974486391,0.7422607220399081
Anhui,2017,3,0.7096195163202205,0.62279218950504
Anhui,2018,3,0.6267367282397225,0.5474520056098306
Anhui,2019,3,0.6371588936352641,0.5579476473947917
Anhui,2020,3,0.6809000000000001,0.6365999999999999
Anhui,2021,3,0.7250863211287887,0.6232263484701666
Anhui,2022,3,0.7338117343159006,0.6276023873676393
Anhui,1998,4,0.7944239701557653,0.640748093938378
Anhui,1999,4,0.7902168737053834,0.6364583756017329
Anhui,2000,4,0.7922608017556356,0.637655429317788
Anhui,2001,4,0.7884827035746459,0.6367495476811207
Anhui,2002,4,0.7979794645601191,0.6511140182753874
Anhui,2003,4,0.798037161031389,0.6536282506327059
Anhui,2004,4,0.7943060682189524,0.6519945580907429
Anhui,2005,4,0.8179400117588778,0.686572044832537
Anhui,2006,4,0.795848304973527,0.6260350289360458
Anhui,2007,4,0.8063698458108767,0.645760405725636
Anhui,2008,4,0.7145999999999999,0.6550066135633907
Anhui,2009,4,0.8086666422726645,0.6509513259122501
Anhui,2010,4,0.8584192217621197,0.7502886603472855
Anhui,2011,4,0.8932350637627682,0.7897519834502356
Anhui,2012,4,0.8180959752802641,0.7167423250752987
Anhui,2013,4,0.8252380173322238,0.7343777230728209
Anhui,2014,4,0.8770825897647134,0.787541952759085
Anhui,2015,4,0.8129500547265359,0.733891799816063
Anhui,2016,4,0.8729142737660103,0.7926685989649845
Anhui,2017,4,0.8204297192943404,0.7576291045139036
Anhui,2018,4,0.714545957767307,0.643595245170884
Anhui,2019,4,0.8446605870277559,0.827758568273834
Anhui,2020,4,0.8455585747264379,0.7748107489412617
Anhui,2021,4,0.8498211349054273,0.777287063100934
Anhui,2022,4,0.8634173026661257,0.7909502862212494
Beijing,1998,1,0.1793,0.0542
Beijing,1999,1,0.2181,0.0746
Beijing,2000,1,0.1371789161238249,0.0767
Beijing,2001,1,0.1935026107492166,0.1129406483610559
Beijing,2002,1,0.2039467488619552,0.1318747867613045
Beijing,2003,1,0.1941898320583208,0.1358015577491668
Beijing,2004,1,0.1949629887487904,0.1300247885284966
Beijing,2005,1,0.243878510512867,0.2064579401170425
Beijing,2006,1,0.0209,0.1254180023138838
Beijing,2007,1,0.2308545118025187,0.1607685897654444
Beijing,2008,1,0.2937,0.1668152713226045
Beijing,2009,1,0.2375499381898286,0.1553615022249813
Beijing,2010,1,0.348028104901909,0.2956877007249542
Beijing,2011,1,0.2488,0.1466336528465366
Beijing,2012,1,0.1534879426575258,0.095179604968119
Beijing,2013,1,0.272357813043298,0.2023065916463624
Beijing,2014,1,0.3854977804131425,0.3212215092112837
Beijing,2015,1,0.2746497951251515,0.2115032149574935
Beijing,2016,1,0.3423576181687594,0.2721134134544485
Beijing,2017,1,0.3033244051499298,0.2377103148780353
Beijing,2018,1,0.1930174559243761,0.1168053176976132
Beijing,2019,1,0.3321973748021846,0.2530012698191956
Beijing,2020,1,0.1311999999999999,0.1272
Beijing,2021,1,0.3688,0.2560468305214086
Beijing,2022,1,0.307332906830727,0.2545369364602636
Beijing,1998,2,0.2656723880057455,0.1426
Beijing,1999,2,0.2656723880057455,0.1945293980311063
Beijing,2000,2,0.2523223880057455,0.194161747538883
Beijing,2001,2,0.2656723880057455,0.1790609125980911
Beijing,2002,2,0.3089503794355349,0.2233533615244479
Beijing,2003,2,0.3077128256875127,0.2297586867451905
Beijing,2004,2,0.3176046933773402,0.2353204215467674
Beijing,2005,2,0.438234353724903,0.3803130686919355
Beijing,2006,2,0.1148,0.2416347180342456
Beijing,2007,2,0.4023487521011348,0.3031097648603975
Beijing,2008,2,0.4871999999999999,0.3248732238864932
Beijing,2009,2,0.4397331341166137,0.3156847550081486
Beijing,2010,2,0.5872463194440606,0.529564389844988
Beijing,2011,2,0.6286,0.423694654075598
Beijing,2012,2,0.4098111057317234,0.3522249183062084
Beijing,2013,2,0.5345263964261274,0.458141002410395
Beijing,2014,2,0.7067758920193864,0.6492854467674295
Beijing,2015,2,0.5423019289573872,0.4989536814480746
Beijing,2016,2,0.6331406783070493,0.5757459752286505
Beijing,2017,2,0.588291788129528,0.5419197570135935
Beijing,2018,2,0.5242554645947124,0.4669565036898715
Beijing,2019,2,0.6541878577385438,0.596936767920482
Beijing,2020,2,0.4418999999999999,0.3383
Beijing,2021,2,0.7121,0.565839124181189
Beijing,2022,2,0.6199931311403891,0.5490170554049968
Beijing,1998,3,0.5363127511199719,0.3603
Beijing,1999,3,0.5363127511199719,0.3924182720883169
Beijing,2000,3,0.5747377511199718,0.2731
Beijing,2001,3,0.5363127511199719,0.3655299475042716
Beijing,2002,3,0.560815457864399,0.403239938246293
Beijing,2003,3,0.5638681266357701,0.4056447529480655
Beijing,2004,3,0.5703517444041933,0.4069439811574829
Beijing,2005,3,0.6698485780976803,0.5896086624053343
Beijing,2006,3,0.5146999999999999,0.4219833400122834
Beijing,2007,3,0.6111297666509369,0.4919252842681764
Beijing,2008,3,0.58795,0.5131706100458499
Beijing,2009,3,0.6271498664392672,0.5058253170108735
Beijing,2010,3,0.5593,0.6777868713301404
Beijing,2011,3,0.6505572833600267,0.567983346166518
Beijing,2012,3,0.5937,0.4926781549000636
Beijing,2013,3,0.6789646823052861,0.6071905022272397
Beijing,2014,3,0.6129,0.7686694384699858
Beijing,2015,3,0.699621696059693,0.6373351603090645
Beijing,2016,3,0.8216923974486391,0.7422607220399081
Beijing,2017,3,0.710051773664505,0.6455013587380474
Beijing,2018,3,0.6267367282397225,0.5474520056098306
Beijing,2019,3,0.6349588936352641,0.5557476473947918
Beijing,2020,3,0.6809000000000001,0.6365999999999999
Beijing,2021,3,0.702604526177825,0.6268893762059763
Beijing,2022,3,0.6863705713620646,0.611252330161861
Beijing,1998,4,0.7474358017556356,0.557141571988341
Beijing,1999,4,0.7474358017556357,0.557141571988341
Beijing,2000,4,0.7707608017556357,0.4734
Beijing,2001,4,0.7474358017556355,0.5170922202969301
Beijing,2002,4,0.752768104256446,0.5359758609661528
Beijing,2003,4,0.7541011798816487,0.5309956936668143
Beijing,2004,4,0.755767524413152,0.5244592240864326
Beijing,2005,4,0.7676400117588777,0.636272044832537
Beijing,2006,4,0.7560872972472856,0.4891778582058708
Beijing,2007,4,0.7594297776897494,0.5608030876200717
Beijing,2008,4,0.7145999999999999,0.581598884840334
Beijing,2009,4,0.7781867759347335,0.5792382445731591
Beijing,2010,4,0.8475692217621197,0.7394386603472854
Beijing,2011,4,0.8932350637627682,0.7897519834502356
Beijing,2012,4,0.8064887785034975,0.6789188032477302
Beijing,2013,4,0.8164684177000292,0.7090642168015853
Beijing,2014,4,0.9147825897647132,0.825241952759085
Beijing,2015,4,0.8280138757980038,0.7222426784861748
Beijing,2016,4,0.8729142737660103,0.7926685989649845
Beijing,2017,4,0.8190618221406508,0.747857337000544
Beijing,2018,4,0.714545957767307,0.643595245170884
Beijing,2019,4,0.8166983100736728,0.8362585682738339
Beijing,2020,4,0.7961,0.7715000000000001
Beijing,2021,4,0.8086304256321433,0.7628063000963649
Beijing,2022,4,0.805647427842534,0.7676349569585331
Chongqing,1998,1,0.1793,0.0542
Chongqing,1999,1,0.2181,0.0746
Chongqing,2000,1,0.1417789161238248,0.1192781795091305
Chongqing,2001,1,0.1667230559738141,0.0888192425861756
Chongqing,2002,1,0.2016681814137696,0.0578
Chongqing,2003,1,0.19821448134514,0.1288199035918225
Chongqing,2004,1,0.2024991748408993,0.0565
Chongqing,2005,1,0.262178510512867,0.2247579401170424
Chongqing,2006,1,0.0209,0.0345
Chongqing,2007,1,0.2490768752772664,0.196434678389848
Chongqing,2008,1,0.2937,0.2110538726802528
Chongqing,2009,1,0.2389240854452043,0.1816143833068057
Chongqing,2010,1,0.230278104901909,0.1779377007249542
Chongqing,2011,1,0.2488,0.1466336528465366
Chongqing,2012,1,0.1534879426575258,0.095179604968119
Chongqing,2013,1,0.2755867342277663,0.2080185834263849
Chongqing,2014,1,0.3199977804131426,0.2557215092112838
Chongqing,2015,1,0.2741256205078499,0.1997877975519787
Chongqing,2016,1,0.3423576181687594,0.2721134134544485
Chongqing,2017,1,0.2777263311179374,0.2117316375162708
Chongqing,2018,1,0.1930174559243761,0.1168053176976132
Chongqing,2019,1,0.2538473748021846,0.1746512698191955
Chongqing,2020,1,0.1311999999999999,0.1272
Chongqing,2021,1,0.285332217264417,0.2346662335460557
Chongqing,2022,1,0.2681752595273335,0.2241724609800514
Chongqing,1998,2,0.2650723880057455,0.1426
Chongqing,1999,2,0.2804341332537843,0.1902113505065552
Chongqing,2000,2,0.3070223880057455,0.2488617475388829
Chongqing,2001,2,0.2818972308829112,0.1754292942085903
Chongqing,2002,2,0.3325297577513167,0.1473
Chongqing,2003,2,0.3319347493560048,0.22134894750909
Chongqing,2004,2,0.3467932509120691,0.1619
Chongqing,2005,2,0.429134353724903,0.3712130686919355
Chongqing,2006,2,0.1148,0.0802
Chongqing,2007,2,0.4212861912047451,0.3263020216152049
Chongqing,2008,2,0.4871999999999999,0.3580509401429113
Chongqing,2009,2,0.4511383902115821,0.3392394164180977
Chongqing,2010,2,0.5316463194440605,0.4739643898449879
Chongqing,2011,2,0.6286,0.423694654075598
Chongqing,2012,2,0.4098111057317234,0.3522249183062084
Chongqing,2013,2,0.5414271036143057,0.4546502920064583
Chongqing,2014,2,0.5534758920193864,0.4959854467674294
Chongqing,2015,2,0.5241179775089924,0.4464604897837248
Chongqing,2016,2,0.6331406783070493,0.5757459752286505
Chongqing,2017,2,0.532746160544865,0.480041253354404
Chongqing,2018,2,0.5242554645947124,0.4669565036898715
Chongqing,2019,2,0.5219378577385438,0.4646867679204819
Chongqing,2020,2,0.4418999999999999,0.3383
Chongqing,2021,2,0.5654727913678707,0.5249620554041499
Chongqing,2022,2,0.5590158254279552,0.5205221748170497
Chongqing,1998,3,0.5385627511199718,0.3603
Chongqing,1999,3,0.5516325777151071,0.4288021490922678
Chongqing,2000,3,0.5653377511199719,0.4847304534805282
Chongqing,2001,3,0.552810480654453,0.3983882058538045
Chongqing,2002,3,0.5771561821307591,0.3313
Chongqing,2003,3,0.5797012351040015,0.4122706140808511
Chongqing,2004,3,0.5884892449526661,0.4204834983339915
Chongqing,2005,3,0.6822485780976802,0.6020086624053342
Chongqing,2006,3,0.5146999999999999,0.1509
Chongqing,2007,3,0.6245733652465947,0.5065570470402209
Chongqing,2008,3,0.58795,0.5355667880707687
Chongqing,2009,3,0.6321266237287237,0.5334756062228008
Chongqing,2010,3,0.7544594050753889,0.6745868713301404
Chongqing,2011,3,0.6668464422538964,0.5866843222610847
Chongqing,2012,3,0.5724037358664723,0.4926781549000636
Chongqing,2013,3,0.6982406926669306,0.6216339304136002
Chongqing,2014,3,0.7671480666575556,0.6875694384699859
Chongqing,2015,3,0.715667366319559,0.6312491021106317
Chongqing,2016,3,0.8216923974486391,0.7422607220399081
Chongqing,2017,3,0.6905379085105764,0.6093097425870688
Chongqing,2018,3,0.6267367282397225,0.5474520056098306
Chongqing,2019,3,0.5968588936352642,0.517647647394792
Chongqing,2020,3,0.6809999999999999,0.6598999999999999
Chongqing,2021,3,0.6807376873496732,0.6052313884151947
Chongqing,2022,3,0.6596470077536399,0.5860622743141236
Chongqing,1998,4,0.6951358017556356,0.5405304293177879
Chongqing,1999,4,0.7065978214903428,0.5519598354008552
Chongqing,2000,4,0.6889608017556357,0.534355429317788
Chongqing,2001,4,0.7111908546835455,0.5164099948198998
Chongqing,2002,4,0.719378514048279,0.5304116272815298
Chongqing,2003,4,0.7169206946257718,0.5087089467368678
Chongqing,2004,4,0.7247355673845992,0.5055135701339194
Chongqing,2005,4,0.8086400117588777,0.6772720448325369
Chongqing,2006,4,0.6265999999999999,0.2148
Chongqing,2007,4,0.7452423380094169,0.5608542183041637
Chongqing,2008,4,0.7145999999999999,0.585035930556142
Chongqing,2009,4,0.7741814060218202,0.5880627091434888
Chongqing,2010,4,0.8297192217621197,0.7215886603472854
Chongqing,2011,4,0.8932350637627682,0.7897519834502356
Chongqing,2012,4,0.8160812922922774,0.6793543283253377
Chongqing,2013,4,0.8260489938231834,0.7083712150595618
Chongqing,2014,4,0.8470825897647134,0.757541952759085
Chongqing,2015,4,0.8272329035682339,0.7199541195044447
Chongqing,2016,4,0.8729142737660103,0.7926685989649845
Chongqing,2017,4,0.8139528835928658,0.7352659453831704
Chongqing,2018,4,0.714545957767307,0.643595245170884
Chongqing,2019,4,0.8106406831262617,0.733508568273834
Chongqing,2020,4,0.7961,0.7715000000000001
Chongqing,2021,4,0.8012988101084685,0.7453398487354399
Chongqing,2022,4,0.7968617370342971,0.7468263041053778
Fujian,1998,1,0.1793,0.0758
Fujian,1999,1,0.2181,0.0746
