"year_all","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper"
1998,0.0165837750707857,0.121435628137436,0.226287481204086,0.0987957089449297,0.198602423162231,0.298409137379533,0.356966431943184,0.440980544249141,0.524994656555098,0.519137680120106,0.600291816507641,0.681445952895175
1999,0.0213978068132853,0.126249659879936,0.231101512946586,0.11884895572393,0.218655669941232,0.318462384158533,0.369253630288288,0.453267742594245,0.537281854900202,0.557336269666809,0.638490406054343,0.719644542441878
2000,0.0269279899972175,0.131779843063868,0.236631696130518,0.130407565220146,0.230214279437448,0.330020993654749,0.383673846367505,0.467687958673462,0.551702070979419,0.561555133903173,0.642709270290708,0.723863406678243
2001,0.0322403710402976,0.137092224106948,0.241944077173598,0.143385266594574,0.243191980811876,0.342998695029177,0.399389129488434,0.483403241794391,0.567417354100348,0.575394813189347,0.656548949576882,0.737703085964416
2002,0.0377666210442879,0.142618474110938,0.247470327177588,0.153870610301007,0.253677324518309,0.353484038735611,0.406221220411138,0.490235332717095,0.574249445023052,0.568985093772276,0.65013923015981,0.731293366547345
2003,0.0468532815195447,0.151705134586195,0.256556987652845,0.176950584352984,0.276757298570285,0.376564012787587,0.419607886916908,0.503621999222865,0.587636111528822,0.572204858250857,0.653358994638391,0.734513131025926
2004,0.052997074315457,0.157848927382107,0.262700780448758,0.183564189901148,0.283370904118449,0.383177618335751,0.428616253407633,0.51263036571359,0.596644478019547,0.553427149403205,0.634581285790739,0.715735422178274
2005,0.0594009252583723,0.164252778325023,0.269104631391673,0.204159144996205,0.303965859213507,0.403772573430808,0.442679717585176,0.526693829891133,0.61070794219709,0.58067416498496,0.661828301372495,0.74298243776003
2006,0.0691808372029335,0.174032690269584,0.278884543336234,0.228900166720664,0.328706880937966,0.428513595155268,0.4717149613667,0.555729073672657,0.639743185978614,0.590342647206881,0.671496783594416,0.75265091998195
2007,0.0710018361535624,0.175853689220213,0.280705542286863,0.227373297816585,0.327180012033887,0.426986726251189,0.464602626489569,0.548616738795526,0.632630851101483,0.584021403222769,0.665175539610303,0.746329675997838
2008,0.0842629323821993,0.18911478544885,0.2939666385155,0.259452049138539,0.359258763355841,0.459065477573143,0.486259331116079,0.570273443422036,0.654287555727993,0.59695747418664,0.678111610574174,0.759265746961709
2009,0.0962808010936638,0.201132654160314,0.305984507226964,0.283537363909716,0.383344078127018,0.48315079234432,0.490228540482564,0.574242652788521,0.658256765094479,0.58225553626309,0.663409672650625,0.744563809038159
2010,0.0949806358633406,0.199832488929991,0.304684341996641,0.289325445821493,0.389132160038795,0.488938874256097,0.505120778833928,0.589134891139885,0.673149003445842,0.614534416866679,0.695688553254214,0.776842689641748
2011,0.100270777114665,0.205122630181316,0.309974483247966,0.31059027571538,0.410396989932681,0.510203704149983,0.533032985192352,0.617047097498309,0.701061209804266,0.644885211725204,0.726039348112739,0.807193484500274
2012,0.108451443657579,0.213303296724229,0.318155149790879,0.330799367545368,0.430606081762669,0.530412795979971,0.524366975476734,0.608381087782691,0.692395200088648,0.643374399596831,0.724528535984365,0.8056826723719
2013,0.110434385366677,0.215286238433327,0.320138091499978,0.35058673841474,0.450393452632042,0.550200166849344,0.525643872567438,0.609657984873396,0.693672097179353,0.672338680586681,0.753492816974216,0.834646953361751
2014,0.11470306461863,0.21955491768528,0.32440677075193,0.355111964964353,0.454918679181655,0.554725393398957,0.540854647118474,0.624868759424431,0.708882871730388,0.669148603117323,0.750302739504857,0.831456875892392
2015,0.118624607947216,0.223476461013866,0.328328314080516,0.347201257212031,0.447007971429332,0.546814685646634,0.560611581905182,0.644625694211139,0.728639806517096,0.650998375143279,0.732152511530814,0.813306647918349
2016,0.126802353726695,0.231654206793345,0.336506059859996,0.390436644607012,0.490243358824313,0.590050073041615,0.544511018115735,0.628525130421692,0.712539242727649,0.680098325204186,0.76125246159172,0.842406597979255
2017,0.12784505332945,0.232696906396101,0.337548759462751,0.400932594502397,0.500739308719698,0.600546022937,0.555409313540763,0.63942342584672,0.723437538152677,0.695503636641731,0.776657773029266,0.8578119094168
2018,0.11946315111985,0.2243150041865,0.32916685725315,0.37073363136985,0.470540345587152,0.570347059804454,0.563571164159385,0.647585276465342,0.731599388771299,0.702243821157933,0.783397957545468,0.864552093933002
2019,0.137605597142565,0.242457450209216,0.347309303275866,0.430632616514175,0.530439330731477,0.630246044948778,0.553492461322314,0.637506573628271,0.721520685934228,0.714277871661213,0.795432008048748,0.876586144436283
2020,0.121065405039294,0.225917258105944,0.330769111172594,0.39372021360012,0.493526927817422,0.593333642034723,0.577665778813073,0.66167989111903,0.745694003424987,0.70841964897784,0.789573785365374,0.870727921752909
2021,0.139513665920009,0.244365518986659,0.349217372053309,0.433210601266881,0.533017315484182,0.632824029701484,0.568950082351834,0.652964194657791,0.736978306963748,0.715711272250478,0.796865408638013,0.878019545025547
2022,0.139330640481782,0.244182493548433,0.349034346615083,0.43386429072787,0.533671004945172,0.633477719162473,0.574928050039539,0.658942162345496,0.742956274651453,0.713350051828086,0.79450418821562,0.875658324603155
2023,0.0975280041676924,0.239990778179354,0.386404905884996,0.39347140780866,0.543114569712586,0.691280556316987,0.541117346984345,0.662210992883657,0.782220836258057,0.687773441138104,0.790551085750603,0.893240295443769
2024,0.0962305261278165,0.240587720933214,0.388162100398649,0.388900576432942,0.539600638691985,0.688267856507005,0.538329735037675,0.661521861983868,0.782512587608197,0.678707607563777,0.784525847679773,0.888702842043492
2025,0.0956479211174767,0.241754679442848,0.391023337633839,0.383931248876767,0.535157669021379,0.686133182764078,0.537603984114195,0.662068985680113,0.784377667616466,0.6730419982778,0.780200943561334,0.886163252819045
2026,0.0957135575242336,0.242908109753938,0.394193775878801,0.378890847702003,0.530991628055164,0.683127056139523,0.538078580386831,0.662304789569191,0.785737511773519,0.670412656608781,0.778477362635018,0.885854978480852
2027,0.0956339859726245,0.243870214712388,0.394510950004789,0.376588007640078,0.529089504032269,0.680245376250489,0.538330335295494,0.662367384913316,0.785784743862157,0.670642919794431,0.779588698857859,0.887351258161809
2028,0.0965414173920682,0.244598897461854,0.39545377200288,0.377436080379752,0.528827261356961,0.679338076147904,0.539600459264172,0.66308189197218,0.78532200756019,0.673906569376036,0.782812800737686,0.89063882731142
2029,0.0966543428845136,0.245154326058123,0.395950483698009,0.379588164650956,0.530195853297037,0.680324836376405,0.540408497876282,0.663519184015338,0.785962619894632,0.677765090963381,0.786425494529928,0.894231921347626
2030,0.0964638579935739,0.24516868027964,0.395792900679425,0.380984955752365,0.531382486763853,0.682087421585114,0.5398300443096,0.66299494975146,0.785286968906351,0.68024129330391,0.78951734113862,0.898174963643659
2031,0.0949708247030715,0.244934690481685,0.397002104814636,0.381629114609672,0.533004956010987,0.683840030530824,0.538914458767355,0.662677221828598,0.785754460116635,0.681471649395455,0.791569301829996,0.901049622680088
2032,0.0934338939176149,0.244878530258238,0.397815701578294,0.381517613982673,0.534330504593189,0.686959318833662,0.53842102033181,0.662576193589699,0.786140527666669,0.681505147419867,0.792795567731138,0.903514706176472
2033,0.0918466259932602,0.245022443672948,0.400178961171124,0.381583790030983,0.535725245648299,0.690926822753784,0.53573118148418,0.661992930767284,0.787680742275418,0.679873255714812,0.793190193028934,0.905482490860101
2034,0.0896774206671232,0.244987966613488,0.402463029440759,0.379911476012343,0.53628502390607,0.692845702577039,0.533777197928634,0.661287943331385,0.788217889498471,0.678060977331916,0.792736271804544,0.90685559197409
2035,0.0875965954413362,0.245009349032953,0.404581539767883,0.378062876464138,0.53674790566133,0.695050060577719,0.531375911608717,0.661063632691997,0.789818843669382,0.676073611250393,0.792270989890639,0.908176270820494
2036,0.0857086180167261,0.245441303748475,0.40630606886291,0.376886411375383,0.537529332789847,0.698610939726526,0.529688254403699,0.660739972862337,0.791385581318462,0.674077701293506,0.792018710457172,0.909600515298269
2037,0.083022258395065,0.245509437579152,0.409118351797157,0.374500953886241,0.538004187621618,0.700444313175747,0.526886912786325,0.660462935388645,0.793218684231113,0.672173795298095,0.792033072091245,0.911302966537469
2038,0.0806418007213488,0.245441784153343,0.410895540612246,0.371816192303803,0.538088686057308,0.702642341361388,0.525094691923446,0.660203684180111,0.794589602597808,0.670074899592585,0.792062298746343,0.912938356165245
2039,0.0788386778561455,0.245618336564479,0.412990328389193,0.371051738455097,0.538438662943188,0.705737422685986,0.523786807382332,0.659872811896301,0.795886809184625,0.669458822013549,0.792396864152836,0.915099032216659
2040,0.0767811033851822,0.245651729740144,0.415457537459738,0.369623622969041,0.538791587885954,0.707638856733946,0.521310180052734,0.659967510983175,0.797883604795476,0.667739887058353,0.79280787348009,0.9171000963977
2041,0.0745629227115759,0.245285461985641,0.417246087686548,0.367537427235568,0.538991937651753,0.710463071349521,0.51916370772135,0.659780848952438,0.799589199522139,0.666782201250986,0.793090375091249,0.919210191322022
2042,0.0722037263878231,0.245492488819703,0.420259371238152,0.365662291528275,0.539496820930474,0.713015726342474,0.516919345167043,0.659456847725839,0.800737530545206,0.665262931179721,0.793580693998695,0.921096937750475
2043,0.0701733814033071,0.245798282471504,0.422829925563669,0.362981179998129,0.539959763305028,0.716818893242974,0.514918370978743,0.659409788217793,0.803059045490692,0.664183654707287,0.793984802834997,0.923366040065051
2044,0.0683873430563419,0.246011677803294,0.424571949883029,0.361370506911702,0.540264602118127,0.718876055971639,0.513392073535332,0.659393286133067,0.80441461936331,0.662791573015721,0.794421183176925,0.925436476822393
2045,0.0670191063076172,0.245918536187824,0.427099136250973,0.360832348452687,0.540503601197449,0.721331895229035,0.512178963354492,0.65964393656908,0.806898019560176,0.661702368472651,0.79483266191425,0.927810673356835
2046,0.0638624696820325,0.24606079368656,0.429084912288364,0.357809432161071,0.54134891290981,0.723422370358038,0.509560025450192,0.659475868128715,0.808750026613824,0.659800650083126,0.795178157848959,0.929368083354798
2047,0.061998494722359,0.24652685265215,0.431632612553861,0.355854505207455,0.54163439702041,0.726500604856461,0.507167409694282,0.659341634920373,0.810285268788961,0.658267145534465,0.795518484955018,0.931724255245609
2048,0.0601766102596468,0.246298454056828,0.433634782618724,0.353713219341243,0.541717497264685,0.728844925208929,0.506347801692902,0.659534804612539,0.812401856258986,0.657196427497139,0.795688973843815,0.933439746439435
2049,0.058356550296304,0.246940290070356,0.436972124051494,0.352840763480664,0.542524771719505,0.731243869588832,0.50434454510287,0.659598693664125,0.81478896745759,0.65566996436038,0.796014966740228,0.935681775720065
2050,0.0561629454787948,0.247272656498612,0.438957233275418,0.351045215016599,0.5426294611444,0.734323335610129,0.502235602297758,0.659868336901591,0.816344792074163,0.65434536530499,0.796224151917036,0.937526402139555
