"year_all","mean","lower","upper"
1995,0.213919844884103,0.137042273532627,0.290797416235579
2000,0.225917824279516,0.149040252928039,0.302795395630992
2005,0.235828460220102,0.158950888868626,0.312706031571578
2010,0.241265732595206,0.16438816124373,0.318143303946683
2011,0.241750559101531,0.164872987750055,0.318628130453007
2012,0.242088201077305,0.165210629725829,0.318965772428781
2014,0.242527881882526,0.16565031053105,0.319405453234003
2015,0.242699747551295,0.165822176199819,0.319577318902771
2016,0.242900990793513,0.166023419442036,0.319778562144989
2017,0.243152234866096,0.16627466351462,0.320029806217573
2018,0.243448043626092,0.166570472274616,0.320325614977568
2019,0.243777306246091,0.166899734894615,0.320654877597568
2020,0.244118056163114,0.167240484811637,0.32099562751459
2021,0.244443513331272,0.167565941979796,0.321321084682749
2022,0.244743932794805,0.167866361443328,0.321621504146281
2023,0.244743932794805,0.167866361443328,0.321621504146281
2024,0.244743932794805,0.166264745373506,0.323223120216103
2025,0.244743932794805,0.164663129303683,0.324824736285926
2026,0.244743932794805,0.163061513233861,0.326426352355748
2027,0.244743932794805,0.161459897164039,0.328027968425571
2028,0.244743932794805,0.159858281094216,0.329629584495393
2029,0.244743932794805,0.158256665024394,0.331231200565215
2030,0.244743932794805,0.156655048954571,0.332832816635038
2031,0.244743932794805,0.155053432884749,0.33443443270486
2032,0.244743932794805,0.153451816814926,0.336036048774683
2033,0.244743932794805,0.151850200745104,0.337637664844505
2034,0.244743932794805,0.150248584675282,0.339239280914328
2035,0.244743932794805,0.148646968605459,0.34084089698415
2036,0.244743932794805,0.147045352535637,0.342442513053972
2037,0.244743932794805,0.145443736465814,0.344044129123795
2038,0.244743932794805,0.143842120395992,0.345645745193617
2039,0.244743932794805,0.142240504326169,0.34724736126344
2040,0.244743932794805,0.140638888256347,0.348848977333262
2041,0.244743932794805,0.139037272186525,0.350450593403084
2042,0.244743932794805,0.137435656116702,0.352052209472907
2043,0.244743932794805,0.13583404004688,0.353653825542729
2044,0.244743932794805,0.134232423977057,0.355255441612552
2045,0.244743932794805,0.132630807907235,0.356857057682374
2046,0.244743932794805,0.131029191837412,0.358458673752197
2047,0.244743932794805,0.12942757576759,0.360060289822019
2048,0.244743932794805,0.127825959697768,0.361661905891841
2049,0.244743932794805,0.126224343627945,0.363263521961664
2050,0.244743932794805,0.124622727558123,0.364865138031486
