"g1","g2","g3","g4","year"
0.0769669875864546,0.135593309598248,0.343952601427216,0.430985349065578,1998
0.0801664575613242,0.13280510092799,0.358670414073084,0.443190218893139,1999
0.0834758480751799,0.131580114866536,0.373412674982543,0.454417599173023,2000
0.0869379532802793,0.131964042349373,0.388188780357628,0.463874593537204,2001
0.0906958938997067,0.133970833325235,0.403006987109115,0.472999959599338,2002
0.0948775302215878,0.137607250743457,0.417875437663285,0.483067760865515,2003
0.0996639235203977,0.143183917427105,0.432801207779489,0.495549548107111,2004
0.105046391967384,0.150507080036573,0.447784551474538,0.509863666007195,2005
0.111085657417152,0.159821400525485,0.462823646822302,0.526004144308804,2006
0.117816547856132,0.171360006432956,0.477913932059415,0.544541656359155,2007
0.125175157675186,0.185072598957312,0.49304675908932,0.565306115225803,2008
0.133219356968116,0.201133946616407,0.508219868367987,0.58891041606066,2009
0.14165253305294,0.218929988850347,0.523432954526088,0.612906421174027,2010
0.150235208799701,0.237938052827416,0.538685503158795,0.635013880753095,2011
0.158838841329691,0.257909081416332,0.553976163719251,0.655031697197207,2012
0.167236970569128,0.278295944460257,0.569303927166704,0.671929752910932,2013
0.174888626130839,0.297963846074218,0.584671822974738,0.685657576252295,2014
0.182121912069383,0.318674651932278,0.600091154027983,0.697648101951791,2015
0.189501373270908,0.341001984300535,0.615576569470417,0.708753244737873,2016
0.197537425438008,0.365509169996676,0.631141675025412,0.719549822896304,2017
0.20608884075589,0.393042299724941,0.646790976096604,0.730535974915525,2018
0.215093071379485,0.423099249194039,0.662514345988302,0.74224578014167,2019
0.22453873462669,0.455508147606783,0.678298116205032,0.75546076523447,2020
0.2342102341276,0.489295021098558,0.694121812073357,0.768831130098876,2021
0.244283286810331,0.524410896787478,0.709965155089609,0.782509142816611,2022
0.254687005602513,0.561005827970166,0.725811768393087,0.796303428616286,2023
