"year_all","mean","lower","upper"
2000,0.228765646742633,0.0739874245728527,0.383543868912414
2003,0.270538373783318,0.115760151613537,0.425316595953099
2006,0.344710141996718,0.189931919826937,0.499488364166498
2008,0.417932255129221,0.26315403295944,0.572710477299002
2010,0.509002877833812,0.354224655664031,0.663781100003592
2012,0.58560222180103,0.430823999631249,0.74038044397081
2013,0.613360950514492,0.458582728344712,0.768139172684273
2019,0.688417305361527,0.533639083191747,0.843195527531308
2020,0.701025317231005,0.546247095061224,0.855803539400786
2021,0.713584850383114,0.558806628213334,0.868363072552895
2022,0.713584850383114,0.558806628213334,0.868363072552895
2023,0.713584850383114,0.555121432447387,0.872048268318842
2024,0.713584850383114,0.551436236681439,0.875733464084789
2025,0.713584850383114,0.547751040915492,0.879418659850737
2026,0.713584850383114,0.544065845149545,0.883103855616684
2027,0.713584850383114,0.540380649383598,0.886789051382631
2028,0.713584850383114,0.536695453617651,0.890474247148578
2029,0.713584850383114,0.533010257851704,0.894159442914525
2030,0.713584850383114,0.529325062085756,0.897844638680472
2031,0.713584850383114,0.525639866319809,0.90152983444642
2032,0.713584850383114,0.521954670553862,0.905215030212367
2033,0.713584850383114,0.518269474787915,0.908900225978314
2034,0.713584850383114,0.514584279021968,0.912585421744261
2035,0.713584850383114,0.510899083256021,0.916270617510208
2036,0.713584850383114,0.507213887490073,0.919955813276155
2037,0.713584850383114,0.503528691724126,0.923641009042102
2038,0.713584850383114,0.499843495958179,0.92732620480805
2039,0.713584850383114,0.496158300192232,0.931011400573997
2040,0.713584850383114,0.492473104426285,0.934696596339944
2041,0.713584850383114,0.488787908660338,0.938381792105891
2042,0.713584850383114,0.48510271289439,0.942066987871838
2043,0.713584850383114,0.481417517128443,0.945752183637785
2044,0.713584850383114,0.477732321362496,0.949437379403733
2045,0.713584850383114,0.474047125596549,0.95312257516968
2046,0.713584850383114,0.470361929830602,0.956807770935627
2047,0.713584850383114,0.466676734064655,0.960492966701574
2048,0.713584850383114,0.462991538298707,0.964178162467521
2049,0.713584850383114,0.45930634253276,0.967863358233468
2050,0.713584850383114,0.455621146766813,0.971548553999416
