,province,hdistate,rate
0,Anhui,low,0.5676925643104356
1,Beijing,high,0.624458991243478
2,Chongqing,medium,0.5547756436469262
3,Fujian,medium,0.5883605784047541
4,Gansu,low,0.5526715052909221
5,Guangdong,high,0.5455784921452501
6,Guangxi,low,0.4603636713298558
7,Guizhou,low,0.5024778741024906
8,Hainan,medium,0.42319526741983937
9,Hebei,medium,0.5046619976714183
10,Heilongjiang,medium,0.5605379975227877
11,Henan,medium,0.5352853503347975
12,Hubei,medium,0.5781169870260373
13,Hunan,medium,0.5078395844580487
14,Inner Mongolia,high,0.6078611176234018
15,Jiangsu,high,0.6110837601374778
16,Jiangxi,low,0.5313157840272962
17,Jilin,high,0.5575993565822358
18,Liaoning,high,0.5811133337269649
19,Ningxia,low,0.5607392217417851
20,Qinghai,low,0.5640908236596949
21,Shaanxi,medium,0.6007727811561152
22,Shandong,high,0.5858560889212774
23,Shanghai,high,0.6406605454558003
24,Shanxi,medium,0.6152496648178355
25,Sichuan,low,0.566286315758308
26,Tianjin,high,0.5570579413233291
27,Tibet,low,0.48102824389472354
28,Xinjiang,low,0.5176758165353093
29,Yunnan,low,0.5265523526682941
30,Zhejiang,high,0.6272774580881452
