,year,age_group,myopia_rate_urban,myopia_rate_rural,myopia_rate
0,1998,1,0.1705689769166776,0.11994448040467591,0.13487497252636438
1,1998,2,0.26473829987939607,0.18652354289142167,0.20885519410512401
2,1998,3,0.5424107478196821,0.46408429584698774,0.48644783788969914
3,1998,4,0.7404160629316802,0.5717351469875295,0.6408759981035317
4,1999,1,0.17979245865851415,0.1241556423450193,0.14056439907107446
5,1999,2,0.27612387717193126,0.19203627769316128,0.2160447259102427
6,1999,3,0.5534240792542268,0.47054966381099506,0.4942117272308465
7,1999,4,0.74095964849687,0.570767142299818,0.6405275812099656
8,2000,1,0.15259464146201135,0.16936860529135708,0.16442152330419776
9,2000,2,0.27443195329663095,0.21394207485947717,0.23121297001070118
10,2000,3,0.5468974997815601,0.5272872056001794,0.5328862800807666
11,2000,4,0.7559704503800007,0.5937602123686788,0.6602487884654877
12,2001,1,0.16794731138545801,0.12024083371986749,0.13431072553144816
13,2001,2,0.2765102044387542,0.18234093395222306,0.20922787171867724
14,2001,3,0.5543560171870142,0.4452214892210753,0.4763812640226784
15,2001,4,0.7404026815551293,0.5435212304213288,0.6242212374384332
16,2002,1,0.18407908152896157,0.1323090170041905,0.14757736718606645
17,2002,2,0.3333441505565835,0.2111525028228712,0.24604030869863952
18,2002,3,0.5926762215483254,0.45740798464414745,0.49602938044163114
19,2002,4,0.7469205712393772,0.5527841282785211,0.632358980144935
20,2003,1,0.17761825099209314,0.1158417368341827,0.13406125152548226
21,2003,2,0.31208308659107953,0.18558637462231248,0.2217033499879842
22,2003,3,0.5720226631050985,0.3969121685764597,0.44690921054481536
23,2003,4,0.7464723236248326,0.46252121879149455,0.5789103251324064
24,2004,1,0.1833292500590409,0.13124568367127737,0.14660649377706453
25,2004,2,0.3232636147139291,0.21985180195243081,0.24937764365927825
26,2004,3,0.5796030942670828,0.4690318692445954,0.500601845634775
27,2004,4,0.7476034332513474,0.5402255189056084,0.6252279355706514
28,2005,1,0.24629201583106725,0.24556173576694568,0.24577711451627127
29,2005,2,0.4341862979621326,0.3625936506557267,0.38303457626466364
30,2005,3,0.6229481566798669,0.5943654852642472,0.6025263269441314
31,2005,4,0.7653872005584458,0.6290510496723773,0.684934060843976
32,2006,1,0.1602070050575279,0.12746917672378208,0.1415864372995888
33,2006,2,0.3027579178281245,0.20241195721889702,0.24636029928580805
34,2006,3,0.5546616031469643,0.4160421587220936,0.4767530704889712
