,year,hdistate,age_group,rate
169,2012,high,2,0.46782880830261814
170,2012,high,3,0.6609353664997883
171,2012,high,4,0.7634162811076497
172,2012,low,1,0.19055234298387266
173,2012,low,2,0.4199641994216511
174,2012,low,3,0.6196289714670336
175,2012,low,4,0.7285598761959647
176,2012,medium,1,0.22866416472305073
177,2012,medium,2,0.4482721008479014
178,2012,medium,3,0.641590571822398
179,2012,medium,4,0.7538925222091821
180,2013,high,1,0.24889964960834796
181,2013,high,2,0.47910914288020295
182,2013,high,3,0.6422538257528236
183,2013,high,4,0.7591750581825784
184,2013,low,1,0.2358914695564551
185,2013,low,2,0.4447499296753711
186,2013,low,3,0.6385397667892492
187,2013,low,4,0.7408882598472127
188,2013,medium,1,0.25108542354070373
189,2013,medium,2,0.49922812523174603
190,2013,medium,3,0.680730731213038
191,2013,medium,4,0.7661906901940971
192,2014,high,1,0.38641563788842664
193,2014,high,2,0.5696521748139795
194,2014,high,3,0.7766673112184216
195,2014,high,4,0.8134454407520029
196,2014,low,1,0.30913701834686075
197,2014,low,2,0.49267710954350596
198,2014,low,3,0.6659034870667446
199,2014,low,4,0.7326412736597426
200,2014,medium,1,0.27343236052200015
201,2014,medium,2,0.5022601944790785
202,2014,medium,3,0.6606616004047888
203,2014,medium,4,0.6951994145136615
204,2015,high,1,0.2206390066462936
205,2015,high,2,0.4887267443891084
206,2015,high,3,0.6582429571238085
207,2015,high,4,0.7632890697630837
208,2015,low,1,0.22719777389345466
209,2015,low,2,0.4355135039088315
210,2015,low,3,0.6484347217118187
211,2015,low,4,0.7408232831036158
212,2015,medium,1,0.22709917613809835
213,2015,medium,2,0.5061728994998123
214,2015,medium,3,0.6768081060596961
215,2015,medium,4,0.7647223139781656
216,2016,high,1,0.23352540508759237
217,2016,high,2,0.5386706224087646
218,2016,high,3,0.6604213388943035
219,2016,high,4,0.7757869407383886
220,2016,low,1,0.2428440574615798
221,2016,low,2,0.49101697638164765
222,2016,low,3,0.6512379150403564
223,2016,low,4,0.7680315421220336
224,2016,medium,1,0.26120046678568276
225,2016,medium,2,0.543917348755043
226,2016,medium,3,0.6941315150896843
227,2016,medium,4,0.7782096398388272
228,2017,high,1,0.23150812623386077
229,2017,high,2,0.42294396575303994
230,2017,high,3,0.6799139983586177
231,2017,high,4,0.7813866778511422
232,2017,low,1,0.21116843242449654
233,2017,low,2,0.40276147508086263
234,2017,low,3,0.6467782900756134
235,2017,low,4,0.7544412623251731
236,2017,medium,1,0.2288744922878231
237,2017,medium,2,0.4450698107211004
238,2017,medium,3,0.67848867291223
239,2017,medium,4,0.7756964901672584
240,2018,high,1,0.1598176072012757
241,2018,high,2,0.4961340464986298
242,2018,high,3,0.7197344899282384
243,2018,high,4,0.8185794851016985
244,2018,low,1,0.21737365071265224
245,2018,low,2,0.43397469653145226
246,2018,low,3,0.7016540536592691
247,2018,low,4,0.7649214639868731
248,2018,medium,1,0.23056337167886543
249,2018,medium,2,0.5068271883737558
250,2018,medium,3,0.6885154058949243
251,2018,medium,4,0.7768357717171948
252,2019,high,1,0.3048421361288442
253,2019,high,2,0.6095739853108132
254,2019,high,3,0.6412108738574294
255,2019,high,4,0.8019505377330404
256,2019,low,1,0.2545663181502209
257,2019,low,2,0.5516317921403696
258,2019,low,3,0.5763344432547085
259,2019,low,4,0.7844910810613563
260,2019,medium,1,0.2905786740952054
261,2019,medium,2,0.5491204967309214
262,2019,medium,3,0.5624468700166596
263,2019,medium,4,0.7944306052073766
264,2020,high,1,0.21543465459748168
265,2020,high,2,0.5335337149631408
266,2020,high,3,0.7021416537410903
267,2020,high,4,0.8187129610650099
268,2020,low,1,0.21792967062589294
269,2020,low,2,0.48391744784562646
270,2020,low,3,0.6814336438951237
271,2020,low,4,0.7776334456228824
272,2020,medium,1,0.2771764158053439
273,2020,medium,2,0.5479260366508607
274,2020,medium,3,0.7344194059930804
275,2020,medium,4,0.7993469564635167
276,2021,high,1,0.2607393057263537
277,2021,high,2,0.5773638485805257
278,2021,high,3,0.7049568044971569
279,2021,high,4,0.8071283563716635
280,2021,low,1,0.2386845421713026
281,2021,low,2,0.5021363956436804
282,2021,low,3,0.6669708376686795
283,2021,low,4,0.7717381350957352
284,2021,medium,1,0.26897183525078316
285,2021,medium,2,0.5678552599273504
286,2021,medium,3,0.687971190529517
287,2021,medium,4,0.8052661417588418
288,2022,high,1,0.27292594169139117
289,2022,high,2,0.5632951914562814
290,2022,high,3,0.6752500869140219
291,2022,high,4,0.7993003808945625
292,2022,low,1,0.23267151525383895
293,2022,low,2,0.512655841363752
294,2022,low,3,0.6577665408414362
295,2022,low,4,0.7746581883716168
296,2022,medium,1,0.27544854725190204
297,2022,medium,2,0.5631319709760355
298,2022,medium,3,0.6611177135555315
299,2022,medium,4,0.7987193143403833
