,province,hdistate,rate
0,Anhui,low,0.3917697198119369
1,Beijing,high,0.4936283623262327
2,Chongqing,medium,0.3400061493998765
3,Fujian,medium,0.42552938664136813
4,Gansu,low,0.3783135473998952
5,Guangdong,high,0.3695030120471897
6,Guangxi,low,0.31820785435274107
7,Guizhou,low,0.30491849871251775
8,Hainan,medium,0.3141744520446937
9,Hebei,medium,0.3756440962312829
10,Heilongjiang,medium,0.34369293891694996
11,Henan,medium,0.37661391803984756
12,Hubei,medium,0.4071197275663177
13,Hunan,medium,0.37983172327011616
14,Inner Mongolia,high,0.3706862034078316
15,Jiangsu,high,0.45074959006125415
16,Jiangxi,low,0.3864893406971598
17,Jilin,high,0.3349979599714088
18,Liaoning,high,0.35538451879001376
19,Ningxia,low,0.3699333846602118
20,Qinghai,low,0.36850146907510695
21,Shaanxi,medium,0.38487114701465197
22,Shandong,high,0.40401956736508693
23,Shanghai,high,0.5400795688002241
24,Shanxi,medium,0.36478279448992185
25,Sichuan,low,0.3685748917419023
26,Tianjin,high,0.42530059049000524
27,Tibet,low,0.3654064818192554
28,Xinjiang,low,0.38725489273960395
29,Yunnan,low,0.35597299489599027
30,Zhejiang,high,0.46544612753649384
