,year,province,rate
0,1998,Anhui,0.3315436402961973
1,1998,Beijing,0.5060714135467234
2,1998,Chongqing,0.30275500392846777
3,1998,Fujian,0.37714491349718293
4,1998,Gansu,0.35804435052207717
5,1998,Guangdong,0.36253012082986946
6,1998,Guangxi,0.3095706847497577
7,1998,Guizhou,0.31370217109507176
8,1998,Hainan,0.31627096532881877
9,1998,Hebei,0.3665374624167099
10,1998,Heilongjiang,0.34282511768302804
11,1998,Henan,0.37597891816906726
12,1998,Hubei,0.39582063478636986
13,1998,Hunan,0.37325355550228045
14,1998,Inner Mongolia,0.3699030561094208
15,1998,Jiangsu,0.4274144189188413
16,1998,Jiangxi,0.3752342745240693
17,1998,Jilin,0.3316705855988892
18,1998,Liaoning,0.3478100701231029
19,1998,Ningxia,0.3752613876152666
20,1998,Qinghai,0.3631690255749985
21,1998,Shaanxi,0.3781706624790351
22,1998,Shandong,0.38056649124702424
23,1998,Shanghai,0.5490490598091092
24,1998,Shanxi,0.3554094109029543
25,1998,Sichuan,0.34750356334390287
26,1998,Tianjin,0.4411887640454439
27,1998,Tibet,0.36714861247317604
28,1998,Xinjiang,0.3780328882942444
29,1998,Yunnan,0.3256546499888281
30,1998,Zhejiang,0.4499459584409877
31,1999,Anhui,0.3979245935795418
32,1999,Beijing,0.5118271276987921
33,1999,Chongqing,0.33989032808506514
34,1999,Fujian,0.4132987025612803
35,1999,Gansu,0.35293528292596577
36,1999,Guangdong,0.3771521777067791
37,1999,Guangxi,0.3224476125894431
38,1999,Guizhou,0.3125293246957489
39,1999,Hainan,0.329304585784746
40,1999,Hebei,0.3670803425196666
41,1999,Heilongjiang,0.3474999944259016
42,1999,Henan,0.3655082149302807
43,1999,Hubei,0.3978185565638801
44,1999,Hunan,0.37258133798044923
45,1999,Inner Mongolia,0.3733569698753648
46,1999,Jiangsu,0.4292889181283074
47,1999,Jiangxi,0.37164952358516423
48,1999,Jilin,0.34067690652884197
49,1999,Liaoning,0.3567365631470021
50,1999,Ningxia,0.370612601969766
51,1999,Qinghai,0.3636015055469022
52,1999,Shaanxi,0.37495229692258525
53,1999,Shandong,0.3798662408079467
54,1999,Shanghai,0.54807904124445
55,1999,Shanxi,0.3565108512550795
56,1999,Sichuan,0.3418002230213456
57,1999,Tianjin,0.44195327751468205
58,1999,Tibet,0.3600238710909392
59,1999,Xinjiang,0.3760611918116785
60,1999,Yunnan,0.32499612628413477
61,1999,Zhejiang,0.4511478531991273
62,2000,Anhui,0.4064325536008637
63,2000,Beijing,0.5147966346534929
64,2000,Chongqing,0.36746824281507806
65,2000,Fujian,0.47865563959626856
66,2000,Gansu,0.41367232696829276
67,2000,Guangdong,0.3867462572515753
68,2000,Guangxi,0.310112798127004
69,2000,Guizhou,0.2588216511012521
70,2000,Hainan,0.2696624393873902
71,2000,Hebei,0.38897718931285696
72,2000,Heilongjiang,0.32127131714911183
73,2000,Henan,0.37239190916334824
74,2000,Hubei,0.40507128473423276
75,2000,Hunan,0.3616186222939055
76,2000,Inner Mongolia,0.3491183799271715
77,2000,Jiangsu,0.4710529784980053
78,2000,Jiangxi,0.38396631938714865
79,2000,Jilin,0.30673896599621353
80,2000,Liaoning,0.3419317334628603
81,2000,Ningxia,0.327526660318387
82,2000,Qinghai,0.34786985078913424
83,2000,Shaanxi,0.37438351381671864
84,2000,Shandong,0.4654977038236584
85,2000,Shanghai,0.5331913993597522
86,2000,Shanxi,0.3725940690988199
87,2000,Sichuan,0.4224714987848106
88,2000,Tianjin,0.3972902268988971
89,2000,Tibet,0.3285014020761662
90,2000,Xinjiang,0.3860943221483384
91,2000,Yunnan,0.4122204116353876
92,2000,Zhejiang,0.49235658564194823
93,2001,Anhui,0.39944730473510803
94,2001,Beijing,0.50817827353862
95,2001,Chongqing,0.33409090465111624
96,2001,Fujian,0.41924630045767775
97,2001,Gansu,0.35500705649668596
98,2001,Guangdong,0.3565055776200266
99,2001,Guangxi,0.29354816248270105
100,2001,Guizhou,0.2917439796638964
101,2001,Hainan,0.31043664914537394
102,2001,Hebei,0.3540898578005286
103,2001,Heilongjiang,0.34239084866991276
104,2001,Henan,0.3431443939751262
105,2001,Hubei,0.39979085174299867
106,2001,Hunan,0.37334045923171943
107,2001,Inner Mongolia,0.364873370676039
108,2001,Jiangsu,0.4385806036918799
109,2001,Jiangxi,0.37352274444273453
110,2001,Jilin,0.3370239932281148
111,2001,Liaoning,0.36152412462533384
112,2001,Ningxia,0.36850547205413187
113,2001,Qinghai,0.3626868049959873
114,2001,Shaanxi,0.3744747440176538
115,2001,Shandong,0.3683762070797767
116,2001,Shanghai,0.547293363724314
117,2001,Shanxi,0.3442714834368535
118,2001,Sichuan,0.32873308608185337
119,2001,Tianjin,0.4370339606630668
120,2001,Tibet,0.3523223910258705
121,2001,Xinjiang,0.37140781583434856
122,2001,Yunnan,0.3233460238656918
123,2001,Zhejiang,0.4438875189342124
124,2002,Anhui,0.4235241927185868
125,2002,Beijing,0.5272177574029013
126,2002,Chongqing,0.32830851268389005
127,2002,Fujian,0.40069579692333396
128,2002,Gansu,0.3284958667384734
129,2002,Guangdong,0.4015999636364765
130,2002,Guangxi,0.32955068556212697
131,2002,Guizhou,0.3282699667093403
132,2002,Hainan,0.3265033935237641
133,2002,Hebei,0.38677226879999543
134,2002,Heilongjiang,0.3691928922737059
135,2002,Henan,0.3723138200372905
136,2002,Hubei,0.4135740216349928
137,2002,Hunan,0.39145156444617313
138,2002,Inner Mongolia,0.3955684486968162
139,2002,Jiangsu,0.4605269655935068
