province,1,2,3,4
北京,428561,416097,416097,913891
天津,268897,280246,280246,622544
河北,1624733,1426222,1426222,2678627
山西,895819,1135427,1135427,1746603
内蒙古,621459,732670,732670,1024538
辽宁,879041,1020532,1020532,1596861
吉林,505759,588841,588841,944649
黑龙江,714602,919613,919613,1322632
上海,563449,500185,500185,993915
江苏,1870966,1894206,1894206,3708664
浙江,1445457,1383568,1383568,2523955
安徽,1255037,1424017,1424017,2214839
福建,1023778,926587,926587,1727888
江西,1269632,1275489,1275489,1687864
山东,2360481,2306366,2306366,3234717
河南,2116610,2143814,2143814,3344651
湖北,1169783,1252703,1252703,2612229
湖南,1510998,1445186,1445186,2144006
广东,2881955,3577134,3577134,6347832
广西,1102524,1044756,1044756,1581351
海南,239210,257747,257747,400824
重庆,682780,815848,815848,1287448
四川,1430049,1754140,1754140,2810098
贵州,759873,958357,958357,1036452
云南,902133,962927,962927,1443317
西藏,34837,38676,38676,50217
陕西,754875,877019,877019,1566065
甘肃,447661,541428,541428,871066
青海,142340,160742,160742,212932
宁夏,179602,199987,199987,251337
新疆,482758,546996,546996,687980
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
