province,1,2,3,4
北京,155570,311510,311510,242333
天津,205793,307331,307331,198106
河北,3307088,5862597,5862597,4520848
山西,2052161,2276540,2276540,1687677
内蒙古,963718,1353983,1353983,1195164
辽宁,1203281,1735776,1735776,1203920
吉林,857057,1441799,1441799,1016778
黑龙江,1089789,1802126,1802126,1444202
上海,78511,104809,104809,104946
江苏,2926016,4384596,4384596,2613465
浙江,1547286,1895252,1895252,1454687
安徽,4092013,5126266,5126266,2953445
福建,1675996,2483120,2483120,1832767
江西,2518878,3485376,3485376,2261792
山东,2900609,6589984,6589984,4175081
河南,5551451,9330620,9330620,5483279
湖北,3035160,4401428,4401428,2858278
湖南,2966338,5430522,5430522,3701579
广东,4297566,4296376,4296376,3573002
广西,2749479,4013069,4013069,3167236
海南,482449,536981,536981,468653
重庆,1747590,1915611,1915611,1050426
四川,4937223,5973374,5973374,3279302
贵州,2828974,3189430,3189430,2098832
云南,2927406,3400636,3400636,2694865
西藏,238504,251233,251233,229201
陕西,2230313,3065768,3065768,1980542
甘肃,2022719,2286501,2286501,1460773
青海,343736,356773,356773,285552
宁夏,398609,436979,436979,353572
新疆,1232941,1547383,1547383,1209277
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
