province,1,2,3,4
北京,72708,84191,84191,157187
天津,128901,128631,128631,179216
河北,2416538,1847659,1847659,2621411
山西,970733,1281226,1281226,1624261
内蒙古,471290,532186,532186,640386
辽宁,755861,802582,802582,915734
吉林,588536,529363,529363,739698
黑龙江,782634,777849,777849,935249
上海,69334,56596,56596,127257
江苏,1336607,1324451,1324451,1934071
浙江,932104,993787,993787,1067732
安徽,2070557,2133193,2133193,2529393
福建,833018,795052,795052,1088891
江西,1962425,1791913,1791913,1738127
山东,2607445,2465180,2465180,2226740
河南,4363400,4016425,4016425,4074239
湖北,1291280,1269992,1269992,2194508
湖南,2414323,2020167,2020167,2039921
广东,2285161,3235044,3235044,3641727
广西,2215766,2107296,2107296,1847945
海南,296521,317325,317325,381635
重庆,857128,980913,980913,957894
四川,2847577,3338302,3338302,3403084
贵州,1985938,2634875,2634875,1791344
云南,2231444,2512398,2512398,2249824
西藏,203145,208729,208729,220458
陕西,914852,1136421,1136421,1765212
甘肃,997926,1267476,1267476,1564519
青海,243767,261439,261439,276153
宁夏,260587,290826,290826,300800
新疆,908384,959449,959449,1064506
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
