,year,province,rate
0,1998,Anhui,0.26860260102417377
1,1998,Beijing,0.36135415477543564
2,1998,Chongqing,0.24295551019383138
3,1998,Fujian,0.2990796258240384
4,1998,Gansu,0.2780722685493542
5,1998,Guangdong,0.25829320053960325
6,1998,Guangxi,0.21518379487370548
7,1998,Guizhou,0.23383881870792325
8,1998,Hainan,0.21757546379507897
9,1998,Hebei,0.28508965296835337
10,1998,Heilongjiang,0.23885883650833306
11,1998,Henan,0.2905198707397986
12,1998,Hubei,0.2975289978902025
13,1998,Hunan,0.2791841601795122
14,1998,Inner Mongolia,0.27598201744915196
15,1998,Jiangsu,0.3355992206414907
16,1998,Jiangxi,0.2899944131219786
17,1998,Jilin,0.22049474234225144
18,1998,Liaoning,0.24130334119293645
19,1998,Ningxia,0.28094881378941305
20,1998,Qinghai,0.26850252411056474
21,1998,Shaanxi,0.2858774910117563
22,1998,Shandong,0.2879141262692432
23,1998,Shanghai,0.39235539285269194
24,1998,Shanxi,0.27073266421535147
25,1998,Sichuan,0.26841854861773307
26,1998,Tianjin,0.31719017698731594
27,1998,Tibet,0.28241432577554565
28,1998,Xinjiang,0.2823100283170188
29,1998,Yunnan,0.24327191045767377
30,1998,Zhejiang,0.3452614011382201
31,1999,Anhui,0.3144031591061801
32,1999,Beijing,0.3671098689275044
33,1999,Chongqing,0.26518024556005176
34,1999,Fujian,0.32380991361316946
35,1999,Gansu,0.2780914956173466
36,1999,Guangdong,0.2832986683004709
37,1999,Guangxi,0.24000842130962607
38,1999,Guizhou,0.2409095218904484
39,1999,Hainan,0.24311047124611565
40,1999,Hebei,0.28531148272889606
41,1999,Heilongjiang,0.2421913045979615
42,1999,Henan,0.28351281854627386
43,1999,Hubei,0.2992236363467625
44,1999,Hunan,0.28406636602424107
45,1999,Inner Mongolia,0.2787116719432273
46,1999,Jiangsu,0.3354360680230183
47,1999,Jiangxi,0.29062986701891336
48,1999,Jilin,0.23238411847516469
49,1999,Liaoning,0.24983920778951751
50,1999,Ningxia,0.28320890630431306
51,1999,Qinghai,0.27529397436679764
52,1999,Shaanxi,0.2880971208903308
53,1999,Shandong,0.28766277046607225
54,1999,Shanghai,0.39137853792958366
55,1999,Shanxi,0.2711875627091647
56,1999,Sichuan,0.2698224779036071
57,1999,Tianjin,0.31753667487166587
58,1999,Tibet,0.276439900241279
59,1999,Xinjiang,0.2857826464231552
60,1999,Yunnan,0.2494962984700955
61,1999,Zhejiang,0.3451228395537064
62,2000,Anhui,0.317538028229016
63,2000,Beijing,0.35639122791636973
64,2000,Chongqing,0.27565914275229264
65,2000,Fujian,0.3719989074316554
66,2000,Gansu,0.32768326169248174
67,2000,Guangdong,0.2711810309341111
68,2000,Guangxi,0.21364790359725477
69,2000,Guizhou,0.17303161912903187
70,2000,Hainan,0.1646090858281884
71,2000,Hebei,0.2921551674038958
72,2000,Heilongjiang,0.2053497010963639
73,2000,Henan,0.2839543706501309
74,2000,Hubei,0.3017821798366003
75,2000,Hunan,0.2640574203605219
76,2000,Inner Mongolia,0.24026678596138307
77,2000,Jiangsu,0.3675834774880649
78,2000,Jiangxi,0.29227393586658124
79,2000,Jilin,0.19345431375419214
80,2000,Liaoning,0.2258784469059445
81,2000,Ningxia,0.23122723065795592
82,2000,Qinghai,0.2507290013384106
83,2000,Shaanxi,0.2787495870020084
84,2000,Shandong,0.3601936733912338
85,2000,Shanghai,0.37572864207780843
86,2000,Shanxi,0.27557919523940144
87,2000,Sichuan,0.3354163521413205
88,2000,Tianjin,0.26468997155384827
89,2000,Tibet,0.24103640904033008
90,2000,Xinjiang,0.2877507610950333
91,2000,Yunnan,0.3226686440720818
92,2000,Zhejiang,0.38100877610029765
93,2001,Anhui,0.3150089690883055
94,2001,Beijing,0.3543355827901087
95,2001,Chongqing,0.2566808019047787
96,2001,Fujian,0.32434938492604254
97,2001,Gansu,0.2789236992864196
98,2001,Guangdong,0.2604851986748971
99,2001,Guangxi,0.22066862690623743
100,2001,Guizhou,0.22691938494499836
101,2001,Hainan,0.2300275857974217
102,2001,Hebei,0.2740794100976078
103,2001,Heilongjiang,0.23852001494835748
104,2001,Henan,0.26618050253938336
105,2001,Hubei,0.3012074593432328
106,2001,Hunan,0.2851145953654999
107,2001,Inner Mongolia,0.2713640061223182
108,2001,Jiangsu,0.33880115150513196
109,2001,Jiangxi,0.29162508586878244
110,2001,Jilin,0.23279709838289545
111,2001,Liaoning,0.25479920990835125
112,2001,Ningxia,0.28245807844818
113,2001,Qinghai,0.2756912778420217
114,2001,Shaanxi,0.28796057254857194
115,2001,Shandong,0.27795102719780296
116,2001,Shanghai,0.3922865420865432
117,2001,Shanxi,0.26087969602208977
118,2001,Sichuan,0.26002612074128206
119,2001,Tianjin,0.3133855850061754
120,2001,Tibet,0.27344755562313033
121,2001,Xinjiang,0.28563957154773223
122,2001,Yunnan,0.25154782037550055
123,2001,Zhejiang,0.33695407514155873
124,2002,Anhui,0.3402860415867311
125,2002,Beijing,0.3832692564665365
126,2002,Chongqing,0.26521432570917114
127,2002,Fujian,0.3575495273303071
128,2002,Gansu,0.29313737482274016
129,2002,Guangdong,0.35424846431882806
130,2002,Guangxi,0.2926657212155491
131,2002,Guizhou,0.2835895515791009
132,2002,Hainan,0.25071765187800527
133,2002,Hebei,0.3055437549643018
134,2002,Heilongjiang,0.2689069231887939
135,2002,Henan,0.29697329739077927
136,2002,Hubei,0.31970987072464396
137,2002,Hunan,0.30733865277156913
138,2002,Inner Mongolia,0.30370817596257016
139,2002,Jiangsu,0.36341533062451525
140,2002,Jiangxi,0.31029639672340215
141,2002,Jilin,0.2603634740850646
142,2002,Liaoning,0.29537995894465413
143,2002,Ningxia,0.3233927147383341
144,2002,Qinghai,0.3029890806085515
145,2002,Shaanxi,0.3251917477958902
146,2002,Shandong,0.30974896663157625
147,2002,Shanghai,0.4150125770977231
148,2002,Shanxi,0.2887835838676121
149,2002,Sichuan,0.293913592708569
150,2002,Tianjin,0.34364365609368025
151,2002,Tibet,0.2982748867889958
152,2002,Xinjiang,0.3044687768830445
153,2002,Yunnan,0.26102789070581395
154,2002,Zhejiang,0.37150945868056207
155,2003,Anhui,0.3461624025850542
156,2003,Beijing,0.3892309791022588
157,2003,Chongqing,0.296965718693651
158,2003,Fujian,0.3463966561374665
159,2003,Gansu,0.32515403050655733
160,2003,Guangdong,0.2908917063963006
161,2003,Guangxi,0.1245482022415243
162,2003,Guizhou,0.10351120788966348
163,2003,Hainan,0.1578545417560716
164,2003,Hebei,0.13940330795312034
165,2003,Heilongjiang,0.17218016473772357
166,2003,Henan,0.30196596497381833
167,2003,Hubei,0.3249270953304303
168,2003,Hunan,0.30659390861758795
169,2003,Inner Mongolia,0.30843471284954765
170,2003,Jiangsu,0.3693068384980741
171,2003,Jiangxi,0.3090126160632199
172,2003,Jilin,0.26775701089694115
173,2003,Liaoning,0.30295859744836584
174,2003,Ningxia,0.325511391236265
175,2003,Qinghai,0.30531271334907883
176,2003,Shaanxi,0.32657539219628196
177,2003,Shandong,0.3153706230057952
178,2003,Shanghai,0.419245220752145
179,2003,Shanxi,0.2754213738890282
180,2003,Sichuan,0.2719359483038595
181,2003,Tianjin,0.34248215459786113
182,2003,Tibet,0.27026655040345704
183,2003,Xinjiang,0.2986610144557609
184,2003,Yunnan,0.2868009683984612
185,2003,Zhejiang,0.37788273359890545
186,2004,Anhui,0.3491189564613084
187,2004,Beijing,0.3987442384733823
188,2004,Chongqing,0.2990530250075709
189,2004,Fujian,0.34366581077476893
190,2004,Gansu,0.3088295353649039
191,2004,Guangdong,0.3101632384505417
192,2004,Guangxi,0.26644116434833887
193,2004,Guizhou,0.25961995790173026
194,2004,Hainan,0.27127491958747924
195,2004,Hebei,0.31854256920862734
196,2004,Heilongjiang,0.2922226062464405
197,2004,Henan,0.3032808772689135
198,2004,Hubei,0.3319176646637826
199,2004,Hunan,0.3160253124719995
200,2004,Inner Mongolia,0.31772807297481964
201,2004,Jiangsu,0.3732848599579571
202,2004,Jiangxi,0.31519484800782527
203,2004,Jilin,0.28544952111887856
204,2004,Liaoning,0.3193231344981309
205,2004,Ningxia,0.3391013084083821
206,2004,Qinghai,0.31998327089320067
207,2004,Shaanxi,0.338513265360736
208,2004,Shandong,0.3225063772360214
209,2004,Shanghai,0.4239971384020711
210,2004,Shanxi,0.30050001716870767
211,2004,Sichuan,0.3012573581047059
212,2004,Tianjin,0.3580697598251689
213,2004,Tibet,0.30476890871915097
214,2004,Xinjiang,0.33092404972641537
215,2004,Yunnan,0.3012975633560622
216,2004,Zhejiang,0.38367826108872666
217,2005,Anhui,0.34838718063930685
218,2005,Beijing,0.4811085116451967
219,2005,Chongqing,0.4239814193694781
220,2005,Fujian,0.4139732736955149
221,2005,Gansu,0.5002968538624091
222,2005,Guangdong,0.4098478302081119
223,2005,Guangxi,0.3555989509384655
224,2005,Guizhou,0.25406798731745595
225,2005,Hainan,0.3020706096320698
226,2005,Hebei,0.3632611334927291
227,2005,Heilongjiang,0.11553860979999502
228,2005,Henan,0.3772777016366997
229,2005,Hubei,0.35779305872211775
230,2005,Hunan,0.38462601102865007
231,2005,Inner Mongolia,0.44859212343381055
232,2005,Jiangsu,0.475001244001145
233,2005,Jiangxi,0.33684870456824023
234,2005,Jilin,0.41628371372065726
235,2005,Liaoning,0.47835386044747985
236,2005,Ningxia,0.45252648227145775
237,2005,Qinghai,0.27909512359730687
238,2005,Shaanxi,0.4725570722332393
239,2005,Shandong,0.5200214079078468
240,2005,Shanghai,0.42380483547936754
241,2005,Shanxi,0.43435107471405665
242,2005,Sichuan,0.5329805556731096
243,2005,Tianjin,0.3933075996223121
244,2005,Tibet,0.34412202418962445
245,2005,Xinjiang,0.31890860277443067
246,2005,Yunnan,0.4030605373395438
247,2005,Zhejiang,0.508841671992978
248,2006,Anhui,0.3622936580832402
249,2006,Beijing,0.3848846691329546
250,2006,Chongqing,0.2382307917801167
251,2006,Fujian,0.2401687623330505
252,2006,Gansu,0.21343981147569208
253,2006,Guangdong,0.30486602492752934
254,2006,Guangxi,0.20691218898444974
255,2006,Guizhou,0.2815519244544825
256,2006,Hainan,0.28208507149596773
257,2006,Hebei,0.325071074565813
258,2006,Heilongjiang,0.3204038780063446
259,2006,Henan,0.30954745110650733
260,2006,Hubei,0.3666782281423686
261,2006,Hunan,0.31023368155422504
262,2006,Inner Mongolia,0.3415741387638329
263,2006,Jiangsu,0.41452491970844885
264,2006,Jiangxi,0.3206315705899332
265,2006,Jilin,0.308967033483028
