,year,age_group,myopia_rate_urban,myopia_rate_rural,myopia_rate
0,1998,1,0.1125359797195574,0.09783440994175793,0.10217028855522425
1,1998,2,0.11011713012732656,0.10799244473101333,0.10859907876065827
2,1998,3,0.37282237209342733,0.418631724956231,0.40555237101008457
3,1998,4,0.5621608418224657,0.40760367641007184,0.4709553241224176
4,1999,1,0.12452431046938035,0.1017451096267984,0.10846329355259607
5,1999,2,0.1313802708841136,0.1117387523501628,0.11734674191759314
6,1999,3,0.3946694072615649,0.4244110128276333,0.41591927562081615
7,1999,4,0.5627002012261874,0.4077582746186676,0.47126763262300764
8,2000,1,0.060321097807394454,0.12725311961008215,0.10751311046299274
9,2000,2,0.11981078354456147,0.11392841625926488,0.11560793275442363
10,2000,3,0.37730912405530526,0.4658133856544518,0.44054390484199735
11,2000,4,0.5771427933805918,0.4187069955199798,0.4836484611861523
12,2001,1,0.10204429601319376,0.09732501065449782,0.09871685171411813
13,2001,2,0.13178974616622186,0.1121700439196352,0.11777180456379127
14,2001,3,0.3956267339190644,0.4032542024371791,0.4010764296849576
15,2001,4,0.5637548300051569,0.39086730961125243,0.4617324115729201
16,2002,1,0.131021179313435,0.11038218156580137,0.11646916345208119
17,2002,2,0.222512325866343,0.14915613400420694,0.17010058175442527
18,2002,3,0.4675118388817138,0.41979559597305516,0.4334193996502602
19,2002,4,0.5829506926756923,0.4048954781311925,0.47787877330920275
20,2003,1,0.11451391542538221,0.095792903059098,0.10131422073933555
21,2003,2,0.1908029493044004,0.13370325461087476,0.15000619430422135
22,2003,3,0.4348146357807048,0.3645828884688651,0.3846352538471533
23,2003,4,0.5926322094131053,0.34570128413550455,0.4469161384952475
24,2004,1,0.12699083527282465,0.11117361399629778,0.11583852750512055
25,2004,2,0.20969510517688955,0.16562462000588332,0.17820749747757156
26,2004,3,0.449873048483678,0.4308429660950137,0.4362763801825498
27,2004,4,0.5997794787402853,0.4059145877034071,0.48537813278066266
28,2005,1,0.18920685083838368,0.20711423171466953,0.20183287530591837
29,2005,2,0.33082853417064256,0.27761206071862443,0.2928062743135914
30,2005,3,0.5016380035862419,0.5399978608858771,0.5290454653685637
31,2005,4,0.6407948918616689,0.4836651917105157,0.5480712992019523
32,2006,1,0.12213794995951215,0.10794360553379043,0.11406451425497484
33,2006,2,0.22931301892304964,0.15745211817984245,0.1889249091913064
34,2006,3,0.4679926690160394,0.38547209759860873,0.42161348563447865
35,2006,4,0.6279995160879194,0.3689238670912801,0.5079166101556015
36,2007,1,0.18356143803156455,0.1642892243327993,0.17259982025518225
37,2007,2,0.3172597885404876,0.24048151586514818,0.2741079595242275
38,2007,3,0.5112114092425424,0.5549665838204977,0.5358032077575796
39,2007,4,0.6494936010418607,0.4426862066690266,0.553637302000406
40,2008,1,0.19608713565422436,0.14017706457923249,0.16428669806289076
41,2008,2,0.36529734897839977,0.22127404308427354,0.2843516744569147
42,2008,3,0.531527731003262,0.5259501673460462,0.5283929629904256
43,2008,4,0.6720683013543051,0.385035537203591,0.5390271276643358
44,2009,1,0.20227922619991642,0.164760943174675,0.1809396393430533
45,2009,2,0.3757914081875486,0.2617539608849641,0.3116987390510566
46,2009,3,0.5444508731185805,0.5243740065502588,0.5331670361273277
47,2009,4,0.6830010997382137,0.466082618421812,0.5824582594991581
48,2010,1,0.32667962030630376,0.27903941888149336,0.2995829054726522
49,2010,2,0.5161834997968129,0.4205561896256315,0.462437912744591
50,2010,3,0.6299899612749024,0.6257407009916034,0.6276017419675228
51,2010,4,0.7412686224204265,0.598902873924948,0.675281360202709
52,2011,1,0.24248286003906613,0.1933511309006624,0.2145377965437173
53,2011,2,0.47067613597168867,0.3300813999214473,0.39165742665166414
54,2011,3,0.5959742283060695,0.5957707085212434,0.5958598437197767
55,2011,4,0.7329846613849239,0.5471233943344228,0.6468370009076698
56,2012,1,0.2296354154107446,0.16361441087381795,0.19208409783724972
57,2012,2,0.4971386718587478,0.3244561923890577,0.4000856310891384
58,2012,3,0.6172039172320951,0.5713659326612578,0.5914415133158886
59,2012,4,0.764985072901078,0.5974762537035199,0.6873438671125904
60,2013,1,0.2309223407757452,0.23326082457525282,0.23225241971670813
61,2013,2,0.46593738028955206,0.42249471319729043,0.44152122091198254
62,2013,3,0.6028615482823727,0.6276956253397077,0.616819088737681
63,2013,4,0.7569819468532022,0.6350255195491837,0.7004545107761049
64,2014,1,0.33822910893860636,0.272093501615698,0.30061260778238064
65,2014,2,0.5654126987791921,0.3984059685750011,0.47154960945430496
66,2014,3,0.657910529967042,0.6225385494576078,0.6380303529101303
67,2014,4,0.7645697217922317,0.5995220779990651,0.6880692835583682
68,2015,1,0.24646394179025463,0.17867732107102424,0.20790837996995337
69,2015,2,0.5036663409066185,0.38924908723028656,0.439360208519025
70,2015,3,0.6267907302900065,0.6088745472415433,0.6167212660966603
71,2015,4,0.7699368114405784,0.6201266872616462,0.7004990425141713
72,2016,1,0.29416237299911974,0.17099288303527843,0.2467948988297773
73,2016,2,0.5653694341239771,0.4329233334112796,0.5102237572115192
74,2016,3,0.663119902795946,0.5843291412047771,0.6303143323864537
75,2016,4,0.7851578394295236,0.6516434004572794,0.7493182145227735
76,2017,1,0.2636531686053743,0.16502042872927294,0.22572182895539888
77,2017,2,0.45272627232373824,0.35603616268457056,0.41246807281390174
78,2017,3,0.6462090396363614,0.6028236060154162,0.6281449434319938
79,2017,4,0.7849747560887772,0.654821864668628,0.7500374800538097
80,2018,1,0.2502839086909341,0.14523876066670655,0.20988653969059912
