,year,province,myopia_rate_urban,myopia_rate_rural
0,1998,Anhui,0.4970497147423492,0.2940198055524266
1,1998,Beijing,0.5060714135467234,0.31785300219238405
2,1998,Chongqing,0.43807379299793336,0.26652897711893214
3,1998,Fujian,0.5016180253422964,0.3238203941695319
4,1998,Gansu,0.4617910225903536,0.39404174876253273
5,1998,Guangdong,0.43091470412930377,0.346196424688995
6,1998,Guangxi,0.39127848930140424,0.35877800849412705
7,1998,Guizhou,0.40138473954478926,0.35463686147263873
8,1998,Hainan,0.3830346236471326,0.3536741575627992
9,1998,Hebei,0.48601898625273715,0.3846575624320182
10,1998,Heilongjiang,0.4076875729335073,0.3329693287863177
11,1998,Henan,0.45900210611285125,0.42781973611362145
12,1998,Hubei,0.47813853451720256,0.4128432605238828
13,1998,Hunan,0.4577751138638612,0.41946759375774806
14,1998,Inner Mongolia,0.4489355447472278,0.3741956716221119
15,1998,Jiangsu,0.515951444277636,0.45171929910034087
16,1998,Jiangxi,0.46677787060869613,0.4115779777872819
17,1998,Jilin,0.38783136609406355,0.3540715513176726
18,1998,Liaoning,0.41418384515804724,0.32947120084010256
19,1998,Ningxia,0.4462200519706693,0.4182915259422272
20,1998,Qinghai,0.4301107474262429,0.40417039393083004
21,1998,Shaanxi,0.4590335711113849,0.41949788462894416
22,1998,Shandong,0.473029347096287,0.3818289956668869
23,1998,Shanghai,0.5490490598091092,0.48018190142422795
24,1998,Shanxi,0.4443881734756774,0.36711275705793445
25,1998,Sichuan,0.45604980206834733,0.376515007612749
26,1998,Tianjin,0.4932302880585809,0.3668076371621289
27,1998,Tibet,0.4569524447083638,0.4284860324217705
28,1998,Xinjiang,0.447231718557254,0.4217634040843295
29,1998,Yunnan,0.42582742679461844,0.36907727103453614
30,1998,Zhejiang,0.5289439912669212,0.4552384549042491
31,1999,Anhui,0.4945451890928728,0.42916841099780184
32,1999,Beijing,0.5118271276987921,0.3780956896813563
33,1999,Chongqing,0.45665022769877134,0.33996445835135675
34,1999,Fujian,0.5099779481851056,0.40792008485398296
35,1999,Gansu,0.47409206340723437,0.37754207476686025
36,1999,Guangdong,0.458247136810432,0.33663512934085627
37,1999,Guangxi,0.42811967416556684,0.35076013977741655
38,1999,Guizhou,0.4180886656504358,0.3396934892850041
39,1999,Hainan,0.41431564520356884,0.34417304555361766
40,1999,Hebei,0.48601898625273715,0.3846575624320182
41,1999,Heilongjiang,0.4101181398632738,0.3423535979149104
42,1999,Henan,0.4561260325022536,0.40835238720390543
43,1999,Hubei,0.47858277659786963,0.4156735058454919
44,1999,Hunan,0.467695483935997,0.4067043431751849
45,1999,Inner Mongolia,0.45122901996708253,0.37729370340534224
46,1999,Jiangsu,0.5149709426983824,0.4505938070713973
47,1999,Jiangxi,0.4714919236491721,0.40042676503298114
48,1999,Jilin,0.40148560963625196,0.3524569535579489
49,1999,Liaoning,0.42255671373980624,0.33899313175840606
50,1999,Ningxia,0.4532363136706268,0.40061583601126294
51,1999,Qinghai,0.44045547347158037,0.3947412499790763
52,1999,Shaanxi,0.46550224931749207,0.4049320838648756
53,1999,Shandong,0.47302934709628713,0.3818289956668869
54,1999,Shanghai,0.54807904124445,0.479186745158488
55,1999,Shanxi,0.44432560991902337,0.368548783682212
56,1999,Sichuan,0.46569130934709907,0.3563048327064018
57,1999,Tianjin,0.49323028805858093,0.3668076371621289
58,1999,Tibet,0.453869762697901,0.41596348671458144
59,1999,Xinjiang,0.4538856444502087,0.40987871090402705
60,1999,Yunnan,0.44098534256350724,0.3544904029843198
61,1999,Zhejiang,0.5280409673218743,0.4542252653099003
62,2000,Anhui,0.48709590185544543,0.4548566765130855
63,2000,Beijing,0.5147966346534929,0.283917829106292
64,2000,Chongqing,0.4459766630555011,0.40635473919494175
65,2000,Fujian,0.5444217128395248,0.514892919683526
66,2000,Gansu,0.5048039166980427,0.46466771240934307
67,2000,Guangdong,0.4485120281103222,0.39185838890253477
68,2000,Guangxi,0.39139764483562717,0.3620472843147882
69,2000,Guizhou,0.3327511791232164,0.31579539678611046
70,2000,Hainan,0.3251515019192419,0.3129285365660914
71,2000,Hebei,0.4783081360918482,0.4423530602906774
72,2000,Heilongjiang,0.3682066641192142,0.35627255362851507
73,2000,Henan,0.4484504434969748,0.43122042838604496
74,2000,Hubei,0.47341355108927546,0.4405399937033228
75,2000,Hunan,0.43909938379529034,0.41248690470675387
76,2000,Inner Mongolia,0.40327907878347763,0.3936953096987071
77,2000,Jiangsu,0.5374419428508287,0.5047338322215565
78,2000,Jiangxi,0.45826157324101907,0.4370423040829161
79,2000,Jilin,0.35659149359791864,0.34114575051684753
80,2000,Liaoning,0.3955260595862509,0.3607184929280379
81,2000,Ningxia,0.392698629118996,0.37828748167365056
82,2000,Qinghai,0.41362780562268886,0.3942023351716874
83,2000,Shaanxi,0.44914032540206555,0.42007205637176254
84,2000,Shandong,0.5326376439428663,0.5083862748236271
85,2000,Shanghai,0.5331913993597522,0.49747877420590464
86,2000,Shanxi,0.4387771671639617,0.41817676988954994
87,2000,Sichuan,0.5075687073422672,0.47051942521857704
88,2000,Tianjin,0.43516770146954065,0.3818699808989736
89,2000,Tibet,0.40815013320224114,0.3930181517933343
90,2000,Xinjiang,0.4535242508022625,0.43443096981935536
91,2000,Yunnan,0.5013049039106405,0.46730609031045434
92,2000,Zhejiang,0.5569740930927832,0.5130044589857657
93,2001,Anhui,0.49339818269294666,0.42828007804864815
94,2001,Beijing,0.50817827353862,0.35832732684364277
95,2001,Chongqing,0.44788134566300064,0.3243901958237389
