province,rate,HDI_state
Anhui,0.433688262,1
Beijing,0.532583355,3
Chongqing,0.324506457,1
Fujian,0.445707809,2
Gansu,0.332619603,1
Guangdong,0.351619488,2
Guangxi,0.282813652,1
Guizhou,0.264391051,1
Hainan,0.289897548,2
Hebei,0.42925338,2
Heilongjiang,0.36552938,2
Henan,0.393752387,1
Hubei,0.424916063,1
Hunan,0.35648745,1
Inner Mongolia,0.402629505,1
Jiangsu,0.483557404,2
Jiangxi,0.374117391,1
Jilin,0.353278268,2
Liaoning,0.383712521,2
Ningxia,0.353591643,1
Qinghai,0.336973969,1
Shaanxi,0.371324383,1
Shandong,0.449525021,2
Shanghai,0.581000146,3
Shanxi,0.409930603,2
Sichuan,0.334409262,1
Tianjin,0.466905665,3
Tibet,0.333447376,1
Xinjiang,0.372235512,2
Yunnan,0.321991082,1
Zhejiang,0.518651368,2
