province,rate,HDI_state
Anhui,0.562482039,2
Beijing,0.610146501,3
Chongqing,0.547258969,2
Fujian,0.518641779,2
Gansu,0.554295873,1
Guangdong,0.466755726,2
Guangxi,0.470569071,2
Guizhou,0.48061736,1
Hainan,0.467984022,2
Hebei,0.598534251,2
Heilongjiang,0.607420637,2
Henan,0.575520715,2
Hubei,0.527059307,2
Hunan,0.4959758,2
Inner Mongolia,0.601532755,2
Jiangsu,0.590656972,2
Jiangxi,0.51947525,2
Jilin,0.575439801,2
Liaoning,0.601439629,2
Ningxia,0.541901871,2
Qinghai,0.533147495,1
Shaanxi,0.565753634,2
Shandong,0.605124028,2
Shanghai,0.587242756,3
Shanxi,0.590952801,2
Sichuan,0.565265232,2
Tianjin,0.642774561,3
Tibet,0.474325889,1
Xinjiang,0.486198415,2
Yunnan,0.492793855,1
Zhejiang,0.602520085,2
